Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Plenary Session VI,plenary,"Gravitational collapse, holography and hydrodynamics in extreme conditions","Chesler, Paul",Harvard,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Chesler', 'fullName': 'Chesler, Paul', 'id': '932920', 'affiliation': 'Harvard', 'emailHash': 'e4a73f4fd5697c96e3d3b3a25dcf19fe', 'db_id': 932920, 'person_id': 998688}"
Plenary Session VI,plenary,Initial state of the HIC: thermalization and isotropization,"Kurkela, Eero Aleksi",CERN,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Eero Aleksi', 'last_name': 'Kurkela', 'fullName': 'Kurkela, Eero Aleksi', 'id': '932921', 'affiliation': 'CERN', 'emailHash': 'eb8095b42de4180e52f281f3a394f7e4', 'db_id': 932921, 'person_id': 998689}"
Plenary Session VIII,plenary,Gluon saturation and EIC,"Sichtermann, Ernst",Lawrence Berkeley National Laboratory,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ernst', 'last_name': 'Sichtermann', 'fullName': 'Sichtermann, Ernst', 'id': '932798', 'affiliation': 'Lawrence Berkeley National Laboratory', 'emailHash': '22eac3eb0d106cffdf5f913a1b2109aa', 'db_id': 932798, 'person_id': 998581}"
Plenary Session VIII,plenary,Future of Heavy Ion Physics,"Nagamiya, Shoji",RIKEN,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shoji', 'last_name': 'Nagamiya', 'fullName': 'Nagamiya, Shoji', 'id': '932799', 'affiliation': 'RIKEN', 'emailHash': '3b598d78b6e9108eab96daeeecfda14e', 'db_id': 932799, 'person_id': 998425}"
"Special session on ""QGP in small systems?""",parallel,Experimental overview on small colliding systems  at LHC,"Loizides, Constantinos",Lawrence Berkeley National Lab. (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Constantinos', 'last_name': 'Loizides', 'fullName': 'Loizides, Constantinos', 'id': '932800', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': '5ebd6c525326aaf0fe6488cfaff0371e', 'db_id': 932800, 'person_id': 998582}"
"Special session on ""QGP in small systems?""",parallel,Hydrodynamics,"Bozek, Piotr",AGH University of Science and Technology,Poland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Piotr', 'last_name': 'Bozek', 'fullName': 'Bozek, Piotr', 'id': '932801', 'affiliation': 'AGH University of Science and Technology', 'emailHash': '28a7ce84819af788c07a345f60a73401', 'db_id': 932801, 'person_id': 998583}"
Plenary Session VII,plenary,Theoretical Overview on Electromagnetic radiations from QGP fluids,"Shen, Chun",McGill University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chun', 'last_name': 'Shen', 'fullName': 'Shen, Chun', 'id': '932802', 'affiliation': 'McGill University', 'emailHash': '72b55f4bf65e914bcb008719cef77dbc', 'db_id': 932802, 'person_id': 998584}"
"Special session on ""QGP in small systems?""",parallel,Experimental overview on small colliding systems at RHIC,"Stankus, Paul",Oak Ridge National Laboratory -  (US),United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Stankus', 'fullName': 'Stankus, Paul', 'id': '932803', 'affiliation': 'Oak Ridge National Laboratory -  (US)', 'emailHash': '5888b0da4644bb8cb77d24a7e1eb2fa4', 'db_id': 932803, 'person_id': 998585}"
"Special session on ""QGP in small systems?""",parallel,round table discussion,Unknown,Unknown,Unknown,,
Plenary Session VIII,plenary,"Neutron star mergers, high density EoS, and gravitational waves","Shibata, Masaru",Kyoto University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Masaru', 'last_name': 'Shibata', 'fullName': 'Shibata, Masaru', 'id': '932804', 'affiliation': 'Kyoto University', 'emailHash': 'e97c8f524ace5f5f4d617bf6a648afad', 'db_id': 932804, 'person_id': 998586}"
"Special session on ""QGP in small systems?""",parallel,Pre-equillibrium dynamics,"Schlichting, Soeren",Brookhaven National Lab,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Soeren', 'last_name': 'Schlichting', 'fullName': 'Schlichting, Soeren', 'id': '932805', 'affiliation': 'Brookhaven National Lab', 'emailHash': '2df846371aa4de69b3cac2067b108d08', 'db_id': 932805, 'person_id': 998587}"
"Special session on ""QGP in small systems?""",parallel,Summary of other reasonable theoretical ideas,"Romatschke, Paul","University of Colorado, Boulder",USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Romatschke', 'fullName': 'Romatschke, Paul', 'id': '932806', 'affiliation': 'University of Colorado, Boulder', 'emailHash': 'a10f03602691d4757f5d2abb08d8689f', 'db_id': 932806, 'person_id': 998588}"
Plenary Session VII,plenary,Experimental overview on jets and high pT hadrons,"Nguyen, Matthew",Centre National de la Recherche Scientifique (FR),France,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Matthew', 'last_name': 'Nguyen', 'fullName': 'Nguyen, Matthew', 'id': '932922', 'affiliation': 'Centre National de la Recherche Scientifique (FR)', 'emailHash': '33d38914460d832f26c99adfe6689633', 'db_id': 932922, 'person_id': 998690}"
Plenary Session VI,plenary,Analytic approaches to relativistic hydrodynamics,"Hatta, Yoshitaka",Japan/Yukawa Institute,UK,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yoshitaka', 'last_name': 'Hatta', 'fullName': 'Hatta, Yoshitaka', 'id': '932923', 'affiliation': 'Japan/Yukawa Institute', 'emailHash': '42e0346b4e6db43a1df44a36a21b0ada', 'db_id': 932923, 'person_id': 998691}"
Opening Ceremony,other,"Welcome by Kizo Hisamoto, Mayor of Kobe",Unknown,Unknown,Unknown,,
Opening Ceremony,other,"Welcome by Hideto En'yo, Director of the RIKEN Nishina Center",Unknown,Unknown,Unknown,,
Opening Ceremony,other,"Message by Shinzo Abe, Prime Minister of Japan (to be read by Yasuyuki Akiba, RIKEN)",Unknown,Unknown,Unknown,,
Plenary Session VII,plenary,Experimental overview on EM observabvles,"Watanabe, Yosuke",University of Tokyo (JP),Japan,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yosuke', 'last_name': 'Watanabe', 'fullName': 'Watanabe, Yosuke', 'id': '932908', 'affiliation': 'University of Tokyo (JP)', 'emailHash': '65920b88244ebbeadce01165d99d4f37', 'db_id': 932908, 'person_id': 998678}"
Plenary Session VII,plenary,Theoretical Developments in pQCD energy loss mechanism,"Mehtar-Tani, Yacine","INT, University of Washington",Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yacine', 'last_name': 'Mehtar-Tani', 'fullName': 'Mehtar-Tani, Yacine', 'id': '932909', 'affiliation': '', 'emailHash': '6f1628f66f92a881d7727f3c4b549e0f', 'db_id': 932909, 'person_id': 998679}"
Plenary Session V,plenary,Experimental overview on open heavy flavor,"Averbeck, Ralf",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ralf', 'last_name': 'Averbeck', 'fullName': 'Averbeck, Ralf', 'id': '932910', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '4a1290bd56f58cbff7d33f3ceba2787c', 'db_id': 932910, 'person_id': 998680}"
Opening Ceremony,other,"Welcome by Takaharu Otsuka, Director of the Center for Nuclear Study, The Univ. of Tokyo",Unknown,Unknown,Unknown,,
Plenary Session V,plenary,Heavy quark transport and quarkonium production,"Zhuang, Pengfei",Tsinghua University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pengfei', 'last_name': 'Zhuang', 'fullName': 'Zhuang, Pengfei', 'id': '932918', 'affiliation': 'Tsinghua University', 'emailHash': '4f6bf57476e2268ffdf6635f73c87ba6', 'db_id': 932918, 'person_id': 998609}"
Plenary Session V,plenary,Experimental overview on quarkonium production,"Arnaldi, Roberta",Universita e INFN Torino (IT),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Roberta', 'last_name': 'Arnaldi', 'fullName': 'Arnaldi, Roberta', 'id': '932919', 'affiliation': 'Universita e INFN Torino (IT)', 'emailHash': 'c80c3ec95a2bd7e48656e070d81d7277', 'db_id': 932919, 'person_id': 998687}"
,other,Zimanyi medal,Unknown,Unknown,Unknown,,
Opening Ceremony,other,"Welcome by Hideki Hamagaki, Chair of the QM2015 Conference",Unknown,Unknown,Unknown,,
Opening Ceremony,other,"Welcome by Yasuhiko Fujii, President of the Japanese Physical Society",Unknown,Unknown,Unknown,,
Opening Ceremony,other,"Welcome by Kumie Inose, Vice-President of Science Council of Japan",Unknown,Unknown,Unknown,,
,unknown,Quark Matter 2017,Unknown,Unknown,Unknown,,
Poster flash talk,poster,Event-by-Event Identified Particle Ratio Fluctuations in    Pb-Pb Collisions with ALICE using     the Identity Method,"Arslandok, Mesut",Johann-Wolfgang-Goethe Univ. (DE),Germany,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mesut', 'last_name': 'Arslandok', 'fullName': 'Arslandok, Mesut', 'id': '933408', 'affiliation': 'Johann-Wolfgang-Goethe Univ. (DE)', 'emailHash': 'e818146389c2856728cfbb00d80587b9', 'db_id': 933408, 'person_id': 998698}"
Poster flash talk,poster,Search for light dark photon with neutral meson decays at the PHENIX experiment,"Yamaguchi, Yorito",Stony Brook University,United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yorito', 'last_name': 'Yamaguchi', 'fullName': 'Yamaguchi, Yorito', 'id': '933430', 'affiliation': '', 'emailHash': '1e69657e26d599d2aa9a46ed7e51c0d0', 'db_id': 933430, 'person_id': 999052}"
Plenary Session IV,plenary,Chiral magnetic effect in condensed matter systems,"Li, Qiang",Brookhaven National Laboratory,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Qiang', 'last_name': 'Li', 'fullName': 'Li, Qiang', 'id': '933724', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': '1886fadd0bf05b7db86d886136c74b85', 'db_id': 933724, 'person_id': 999228}"
