Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Pre-equilibrium and initial state physics,poster,Nuclear suppression at large pT and xF: Direct photons from RHIC to LHC,"Cepila, Jan",Faculty of Nuclear Sciences and Physical Engineering (FNSPE)-Czech Technical University in Prague,UK,"We discuss a common feature of all known reactions on nuclear targets - a significant suppression at large Feynman xF and large transverse momenta pT of produced particles. The main emphasis is devoted to production of prompt photons since they are not expected to be accompanied by any final state interaction, either energy loss or absorption. Therefore, besides the Cronin enhancement at medium pT and small isotopic corrections at larger pT, one should not expect any nuclear effects. However, data from the PHENIX experiment demonstrate a significant large-pT suppression in central d+Au and Au+Au collisions that cannot be induced by coherence phenomena. We demonstrate that such an unexpected result is subject to the energy sharing problem in multiple initial state interactions. Using the colour dipole approach we describe first the large-pT production of direct photons in the RHIC kinematic region in agreement with available data. We study also a rise of nuclear effects with rapidity(xF) caused besides corrections for energy deficit by an increasing onset of coherence phenomena. In the LHC energy range we analyze relative manifestation of these effects presenting predictions for large-pT suppression at different rapidities. We analyze also a contribution of gluon shadowing as a leading twist shadowing correction modifying nuclear effects especially at small pT.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jan', 'last_name': 'Cepila', 'fullName': 'Cepila, Jan', 'id': '1897655', 'affiliation': 'Faculty of Nuclear Sciences and Physical Engineering (FNSPE)-Czech Technical University in Prague', 'emailHash': '5d711c25063f3a6521f530f704b1a421', 'db_id': 1897655, 'person_id': 2047418}"
Electromagnetic probes,poster,Dimuon pairs from In-In collision at  $\sqrt {s_{NN}} = 17.3$ GeV at SPS energies,"Sinha, Bikash",Variable Energy Cyclotron Centre,Unknown,"The invariant mass and transverse momentum spectra of lepton pairs 
for In-In collision at $\sqrt{s_{\mathrm {NN}}}=17.3$ GeV have been studied. 
We find that the broadening of the $\rho$ mesons spectral function 
due to its interaction with the thermal baryons  causes substantial
excess of dimuons at low mass region. Both the spectra agrees 
well with the experimental observations made by the NA60 collaborations. We argue that the non-monotonic variation of the slope parameter extracted from the transverse mass  spectra for various invariant mass
bins indicate the presence of two different phases during the evolution of the
fireball.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bikash', 'last_name': 'Sinha', 'fullName': 'Sinha, Bikash', 'id': '1897651', 'affiliation': 'Variable Energy Cyclotron Centre', 'emailHash': '005118f79dda3baf8c7c40585b974130', 'db_id': 1897651, 'person_id': 2046945}"
Heavy flavor and quarkonia production,poster,Using separated bottom and charm contribution to pin down the role of radiative energy loss for heavy quarks,"Vogel, Sascha",Subatech,Unknown,"One of the most promising probes to study deconfined matter created in high energy nuclear collisions at RHIC and LHC is the energy loss of (heavy) quarks. It has been shown in experiments at the Relativistic Heavy Ion Collider that even charm and bottom quarks, despite their high mass, experience a remarkable medium suppression in the Quark Gluon Plasma.  
Although various features of heavy quark physics have been understood, several challenges remain. To further study the energy loss mechanism it is not only necessary to separate charm and bottom quarks but also 
to separate the two sources of energy loss, collisional or radiative energy loss.

In this contribution we present a method for extracting the difference between collisional and radiative energy loss of heavy quarks.
By analyzing separated bottom and charm contributions to the heavy quark spectrum one can gain information about the relative strength of radiative and collisional energy loss. 

This talk will give a detailed explanation of how one can separate this information experimentally and what we can learn from this analysis with respect to heavy quark energy loss. By using existing experimental data we will constrain the parameter space of energy loss physics and rule out several model parametrizations. 

A systematic parameter check with regard to RHIC data is carried out and perspectives for RHIC upgrades and the LHC will be presented.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sascha', 'last_name': 'Vogel', 'fullName': 'Vogel, Sascha', 'id': '1897646', 'affiliation': 'Subatech', 'emailHash': '1d43957710b20269bbcbe04d6e97b46c', 'db_id': 1897646, 'person_id': 2047654}"
Electromagnetic probes,poster,The Level-0 trigger of the ALICE Electromagnetic Calorimeter,"Kral, Jiri",University of Jyvaskyla,FI,The trigger system of the ALICE Electromagnetic Calorimeter (EMCal) aims to enhance the selection of hard-QCD events containing high-p_{T} neutral particles and jets to be recorded. The EMCal shower (photon) trigger (level 0) entered in operation in 2010. The trigger implementation and level 0 decision algorithms will be presented with special focus on the tight timing requirements. Minimum bias data containing trigger decision information has been used for offline performance studies. The trigger performance results deduced from analysis of the minimum bias data set and from the EMCal triggered data set taken in the p+p \sqrt{s}=2.76TeV run will be presented.,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jiri', 'last_name': 'Kral', 'fullName': 'Kral, Jiri', 'id': '1897632', 'affiliation': 'University of Jyvaskyla', 'emailHash': 'b304552afb5d72276a70a85dee66eeff', 'db_id': 1897632, 'person_id': 2047658}"
QCD phase diagram,poster,U(1)A anomaly effects on phase diagrams in chiral random matrix model,"Sano, Takashi",University of Tokyo,Unknown,"Incorporating the background instanton effects, we extend the chiral
random matrix model to include the anomaly effect. 
The anomaly effect appears naturally as the flavor mixing determinant interaction terms,
which are missed in the conventional random matrix models.
Due to the determinant interaction terms, the model shows
the second-order phase transition for two massless-quark flavors and
the first-order for three light-quark flavors at finite temperatures.
We investigate the phase diagram of this model at finite T/mu and furthermore
at finite isospin and hypercharge chemical potentials.
We find that the critical point exists on T-mu plane with physical quark masses. 
We also find that the determinant terms cause the mixing not only between
the chiral condensates but also between the chiral and meson condensates,
which results in an enlargement of the region where, for example, 
both of the pion and the strange-quark chiral condensates have finite values.
The anomaly effects enrich the phase structure and 
we expect that this is also the case in QCD.

References: 
Phys.Rev. D80 (2009) 034007.
Phys.Rev. D81 (2010) 037502.
Phys.Rev. D83 (2011) 014005.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Takashi', 'last_name': 'Sano', 'fullName': 'Sano, Takashi', 'id': '1897630', 'affiliation': 'University of Tokyo', 'emailHash': '09411e4d858a2b71330cc8d1350d8b1c', 'db_id': 1897630, 'person_id': 2047656}"
Heavy flavor and quarkonia production,poster,Heavy Quark Energy Loss in High Multiplicity Proton Proton Collisions at LHC,"Vogel, Sascha",Subatech,Unknown,"One of the most promising probes to study deconfined matter created in high energy nuclear collisions at RHIC and LHC is the energy loss of (heavy) quarks. It has been shown in experiments at the Relativistic Heavy Ion Collider that even charm and bottom quarks, despite their high mass, experience a remarkable stopping in the Quark Gluon Plasma.  

In this exploratory investigation we study the energy loss of heavy quarks in high multiplicity proton-proton collisions at LHC energies. Although the colliding systems are smaller than compared to those at RHIC (p+p vs. Au+Au) the higher energy leads to multiplicities comparable to Cu+Cu collisions at RHIC. The high energy densities reached in LHC collisions might create a deconfined state of matter even in elementary reactions. The interaction of heavy quarks with this environment gives rise to a non-negligible suppression of high momentum heavy quarks in elementary collisions. 
This probe will allow to further pin down the physical quantities of the phase transition to the Quark-Gluon-Plasma at LHC energies.

S.Vogel, P.B.Gossiaux, K.Werner, J.Aichelin,
'Heavy Quark Energy Loss in High Multiplicity Proton Proton Collisions at LHC'
currently being reviewed by PRL
[arXiv:1012.0764 [hep-ph]].","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sascha', 'last_name': 'Vogel', 'fullName': 'Vogel, Sascha', 'id': '1897626', 'affiliation': 'Subatech', 'emailHash': '1d43957710b20269bbcbe04d6e97b46c', 'db_id': 1897626, 'person_id': 2047654}"
Electromagnetic probes,poster,Low pT direct photon production in 200GeV d+Au collisions measured by the PHENIX detector,"Yamaguchi, Yorito",University of Tokyo,United States,"Direct photons in low pT region have been of great interest for a long time since thermal photons from Quark Gluon Plasma (QGP) are considered to contribute predominantly.
Attempts to measure low pT direct photons using EMCals could not succeed since a finite energy resolution of the EMCal prevents us from separating direct photon signal from a large amount of background of hadron decay photons, particularly pi0.

Recently, the PHENIX experiment demonstrated that direct photon yield can be obtained even in low pT region via the di-electron measurement since direct photon internal conversions make enhanced yield of di-electrons over the known hadron decay contributions.
Comparing direct photon yields in $\sqrt{s_{NN}}=200~$GeV p+p and Au+Au collisions, a significant excess over the binary scaled p+p result is seen in Au+Au for pT<3GeV/c.

However, it should be confirmed that the observed excess of direct photons is not due to nuclear effects such as Cronin effect, nuclear anti-shadowing and so on, since nuclear effects are involved in Au+Au collisions but not in p+p collisions.
d+Au collision data can contribute to quantify nuclear effects on direct photon production.
The latest results of low pT direct photons from d+Au data taken in the Year-2008 RHIC Run will be shown.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yorito', 'last_name': 'Yamaguchi', 'fullName': 'Yamaguchi, Yorito', 'id': '1897620', 'affiliation': 'University of Tokyo', 'emailHash': '25c2233e43cd7e3531ed777f14f85b4b', 'db_id': 1897620, 'person_id': 2047652}"
"Experiments upgrade, future facilities and instrumentations",poster,Studies for an upgrade of the ALICE Inner Tracking System,"Terrevoli, Cristina","Universita degli Studi di Bari-Universita & INFN, Bari for ALICE ITS Collaboration",United States,"Heavy quarks are fundamental probes to investigate the properties of the hot and dense QCD matter
formed at the extreme energy densities reached in Pb-Pb collisions at LHC. The heavy quark pairs (cc_bar
and bb_bar), which are produced in the very initial stage of the collision, come out from the interaction
region as hadrons, possibly as a part of a jet, and carry out information about the properties of the
traversed medium. Such information can be obtained from the study of the open charm and beauty
hadrons in the final state and of the associated jet. Charm and beauty hadrons decay weakly with a mean
free path of the order of few hundred microns. Therefore, their identification relies on the possibility of
resolving a decay vertex at distances of such order from the production one. The inner tracker of the ALICE
experiment (ITS), made of six layers of silicon detectors, has been designed and built to this purpose and is
providing the first results on the above mentioned item, though with some limitations. A detector based on
today’s frontier technologies would certainly offer new exciting possibilities within the physics scope
described above.
This contribution will present the studies on the upgrade of the ALICE ITS detector. At the moment, several
possible scenarios for the new detector layout and technologies are being considered. With respect to the
current ITS, the baseline idea for the upgraded tracker is to have a detection layer closer to the beam line
(which implies a beam pipe with smaller radius) and a larger number of layers instrumented with silicon
pixels. The track position resolution at the primary vertex could be improved by a factor 2–3.
 Besides the natural improvement of the measurement capabilities on the channels already well measured
with the present ITS, the upgraded ITS will offer the possibility of exploring new physics items. Examples are
the heavy flavor baryons, the exclusive decay channels of B-mesons, the production mechanisms of
hadrons containing more than one heavy quark.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Cristina', 'last_name': 'Terrevoli', 'fullName': 'Terrevoli, Cristina', 'id': '1897619', 'affiliation': 'Universita degli Studi di Bari-Universita & INFN, Bari for ALICE ITS Collaboration', 'emailHash': 'd73b9fbc5d6ab794e2111564fe857bea', 'db_id': 1897619, 'person_id': 2047651}"
"Experiments upgrade, future facilities and instrumentations",poster,Feasibility study of muon chamber for CBM experiment at FAIR,"Prakash, Arun","BHU,Varanasi,India",Unknown,"The compressed baryonic matter (CBM) experiment at the future FAIR accelerator center in Darmstadt, Germany, aims at the investigation of baryonic matter at highest net baryon densities but moderate temperatures, by colliding heavy-ions at beam energies from 10 to 45 A GeV. The research program comprises the exploration of  basic landmarks of the QCD phase diagram like transitions from hadronic to partonic phase, the region of first order de-confinement as well as chiral phase transition, and the critical end point. The proposed key observables include the measurement of low mass vector mesons and charmonia, which can be detected via their decay into the di-lepton channel. As the  leptons leave the hot and dense fireball without further interactions, hence they provide almost unscathed information about the interior of the collision zone where they are being created. In this paper, we discuss the physics motivation, detector concepts, and the feasibility studies of the di-muon measurements for central Au + Au collisions, with a special reference to the detailed simulation activities performed by the CBM muon group.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Arun', 'last_name': 'Prakash', 'fullName': 'Prakash, Arun', 'id': '1897613', 'affiliation': 'BHU,Varanasi,India', 'emailHash': '0a9e0d3be5a3c9f05e53f6a259305f66', 'db_id': 1897613, 'person_id': 2047645}"
Heavy flavor and quarkonia production,poster,"D meson production cross sections in pp collisions at √s = 7 TeV, measured with the ALICE detector","Alessandro, Grelli",Utrecht University,Netherlands,"Heavy quark production provides a powerful tool to test pQCD calculations in hadron collisions in the new energy regime of the LHC. Moreover the D meson pt-differential cross section in pp collisions provides the reference for the study of nuclear matter effects on charm quarks in PbPb collisions, via the nuclear modification factor.

The ALICE experiment collected data in pp collisions at √s of 7 TeV and 2.76 TeV at the LHC. We present preliminary results on the pt-differential cross sections of D0, D*+, and D+ mesons, reconstructed using their hadronic decay channels. We show that already with a subsample of the 2010 data, thanks to excellent tracking system and particle identification capabilities of the ALICE experiment, the charmed hadron measurements in the mid-rapidity region can be extended down to pT~2 GeV/c, with good prospects to reach pT~1 GeV/c or below using the full sample. The current status of the Ds and Λc analysis, as well as the investigation of the charm content in jets, are discussed as well.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Grelli', 'last_name': 'Alessandro', 'fullName': 'Alessandro, Grelli', 'id': '1897612', 'affiliation': 'Utrecht University', 'emailHash': '8bd4f6a73d3452e757c13bd4c0b12cac', 'db_id': 1897612, 'person_id': 2047644}"
