Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Plenary Session X: PDFs / Future,plenary,"The near- and mid-term future of RHIC, EIC and sPHENIX (EX)","Morrison, David",Brookhaven National Laboratory,United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'David', 'last_name': 'Morrison', 'fullName': 'Morrison, David', 'id': '6511488', 'affiliation': '', 'emailHash': 'ca7ac30754454d72c7929e3b683b3dca', 'db_id': 6511488, 'person_id': 6446961}"
Flash Talks/Poster Awards,poster,Anisotropy of the QGP droplet explored through high-𝑝⊥ data,"Stojku, Stefan",Unknown,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Stefan', 'last_name': 'Stojku', 'fullName': 'Stojku, Stefan', 'id': '6716536', 'affiliation': '', 'emailHash': '290bd79e78ad9524c3e9239bb925717f', 'db_id': 6716536, 'person_id': 6336345}"
Flash Talks/Poster Awards,poster,Space-time evolution of critical fluctuations in an expanding system,"Sakai, Azumi",Sophia University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Azumi', 'last_name': 'Sakai', 'fullName': 'Sakai, Azumi', 'id': '6716535', 'affiliation': '', 'emailHash': '0495f16209f9f594cf20d3f55ed43618', 'db_id': 6716535, 'person_id': 6336246}"
Flash Talks/Poster Awards,poster,Multi-dimensional measurements of the parton shower in pp collisions at RHIC,"Robotková, Monika ","Nuclear Physics Institute, Czech Academy of Sciences",UK,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Monika ', 'last_name': 'Robotková', 'fullName': 'Robotková, Monika ', 'id': '6716534', 'affiliation': 'Nuclear Physics Institute, Czech Academy of Sciences', 'emailHash': '4d47ca0ba03d46bb3bdac3f1a41ca0b1', 'db_id': 6716534, 'person_id': 6336088}"
Flash Talks/Poster Awards,poster,Using active learning to constrain the size and location of the QCD critical point,"Mroczek, Débora",University of Illinois at Urbana-Champaign,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Débora', 'last_name': 'Mroczek', 'fullName': 'Mroczek, Débora', 'id': '6716533', 'affiliation': 'University of Illinois at Urbana-Champaign', 'emailHash': 'daac40618a0e71f441dfb944016c60c4', 'db_id': 6716533, 'person_id': 6339621}"
Flash Talks/Poster Awards,poster,Search for higher mass resonances via KK decay channel in pp collisions with ALICE at the LHC,"Mallick, Dukhishyam",National Institute of Science  Education and Research (NISER) (IN),India,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dukhishyam', 'last_name': 'Mallick', 'fullName': 'Mallick, Dukhishyam', 'id': '6716532', 'affiliation': 'National Institute of Science  Education and Research (NISER) (IN)', 'emailHash': '7f415e9dbbe7c4b124722c8d79ab16d3', 'db_id': 6716532, 'person_id': 6329955}"
Flash Talks/Poster Awards,poster,Identified hadron spectra and baryon stopping in 𝛾+Au collisions at STAR,"Lewis, Nicole",Brookhaven National Laboratory,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Nicole', 'last_name': 'Lewis', 'fullName': 'Lewis, Nicole', 'id': '6716530', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': 'c06e2717101fd97ef0699e53cf732064', 'db_id': 6716530, 'person_id': 6514894}"
Flash Talks/Poster Awards,poster,Bayesian quantification of the Quark-Gluon Plasma from a hybrid model with an IP-Glasma initial state,"Heffernan, Matthew",McGill University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Matthew', 'last_name': 'Heffernan', 'fullName': 'Heffernan, Matthew', 'id': '6716529', 'affiliation': 'McGill University', 'emailHash': '75fa9a8d6b77f7b47a5252abeda18ff3', 'db_id': 6716529, 'person_id': 6339582}"
Flash Talks/Poster Awards,poster,Measurement of low-momentum direct photons in Au+Au collisions at 200 GeV,"Fan, Wenqing",Lawrence Berkeley National Lab. (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wenqing', 'last_name': 'Fan', 'fullName': 'Fan, Wenqing', 'id': '6716528', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': '40291106cd941c64d994e1ef627babf8', 'db_id': 6716528, 'person_id': 6335990}"
Flash Talks/Poster Awards,poster,Introduction,"Lesiak, Tadeusz",Polish Academy of Sciences (PL),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tadeusz', 'last_name': 'Lesiak', 'fullName': 'Lesiak, Tadeusz', 'id': '6716527', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': '84dade747f718dceaf2479b477a8c0dc', 'db_id': 6716527, 'person_id': 6592039}"
Flash Talks/Poster Awards,poster,"Heavy quarks in the evolving Glasma: diffusion, 2-particle correlations and comparison with Langevin dynamics","Avramescu, Dana",University of Jyväskylä,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dana', 'last_name': 'Avramescu', 'fullName': 'Avramescu, Dana', 'id': '6716526', 'affiliation': '', 'emailHash': '757a22651020e1ff5aa2da4dee64a92e', 'db_id': 6716526, 'person_id': 6339136}"
Flash Talks/Poster Awards,poster,Constraining Neutron-Star Matter with Microscopic and Macroscopic Collisions,"Agarwal, Kshitij",Eberhard Karls Universität Tübingen (DE),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kshitij', 'last_name': 'Agarwal', 'fullName': 'Agarwal, Kshitij', 'id': '6716525', 'affiliation': 'Eberhard Karls Universität Tübingen (DE)', 'emailHash': '6746638caa3df96e2a6f350429922030', 'db_id': 6716525, 'person_id': 6337165}"
Poster Session 3 T16,poster,Lifetime measurements of light hypernuclei in Au+Au Collisions from STAR experiment,"Li, Xiujun",USTC,Unknown,"Hypernuclei are bound nuclear systems of correlated nucleons and hyperons. Therefore, the production of hypernuclei in heavy-ion collisions provides an experimental avenue for studying the hyperon$-$nucleon (Y-N) interaction, which is an important ingredient, not only in the equation-of-state (EoS) of astrophysical objects such as neutron stars but also in the description of the hadronic phase of a heavy-ion collision. The strength of the Y-N interaction can be investigated by measuring the properties of hypernuclei. For example, light $\Lambda$-hypernuclei containing one hyperon are conventionally understood as a weakly bound system of a $\Lambda$ and a nucleus, suggesting their lifetimes are close to the free-$\Lambda$ lifetime.

In heavy-ion collisions, light hypernuclei are expected to be abundantly produced at low energies due to the high baryon density. In this poster, we will report precise lifetime measurements of $^3_{\Lambda}H$, $^4_{\Lambda}H$ and $^4_{\Lambda}He$ in Au+Au collisions at $\sqrt{s_{NN}}$ = 3 GeV and 7.2 GeV, recorded by the  STAR experiment at RHIC in the fixed-target mode in 2018. The results will be compared with model calculations and physics implications will be discussed.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xiujun', 'last_name': 'Li', 'fullName': 'Li, Xiujun', 'id': '6586484', 'affiliation': 'USTC', 'emailHash': '131bbce725de6bfc25ca69004bcefa8a', 'db_id': 6586484, 'person_id': 6514741}"
Awarding of the Zimanyi Medal,other,Awarding of the Zimanyi Medal,"Levai, Peter",Wigner Research Centre for Physics (Wigner RCP) (HU),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter', 'last_name': 'Levai', 'fullName': 'Levai, Peter', 'id': '6714534', 'affiliation': 'Wigner Research Centre for Physics (Wigner RCP) (HU)', 'emailHash': '78136f4a40b45c8de65d0a17b6a03121', 'db_id': 6714534, 'person_id': 6584078}"
Poster Session 3 T15_2,poster,sPHENIX MVTX Quality Control and Online System,"Shi, Zhaozhong",Los Alamos National Laboratory,USA,"sPHENIX is a state-of-the-art detector for jet and heavy flavor physics in heavy-ion collisions and going to take data at RHIC in 2023. The sPHENIX MVTX detector has excellent position resolution and vertexing capabilities, which is crucial for heavy flavor physics studies. A dedicated online software system, including the quality control and detector slow control system, is being developed. The quality control system will analyze and display the performance of MVTX in real time for online monitoring. The analysis results will be stored in the database to be retrieved later and studied over a period of time. The detector slow control system is based on WinCC. Shifters can use it to operate the MVTX detector according to real time feedback from the quality control system to maintain the functionality and safety of MVTX. The online system will be used in MVTX commissioning and in the runs to ensure high quality data taking. In this poster, the design and framework of the online system will be discussed. We will also present the general interface and selected hit, cluster, and tracking performance plots from recent Fermilab test beam data and Monte Carlo simulations.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhaozhong', 'last_name': 'Shi', 'fullName': 'Shi, Zhaozhong', 'id': '6540044', 'affiliation': 'Los Alamos National Laboratory', 'emailHash': 'b1b43a0f27a361b09e0e99853f0c28d6', 'db_id': 6540044, 'person_id': 6336000}"
Poster Session 3 T15 / T16,poster,Correcting Distortions in the sPHENIX Time Projection Chamber,"Corliss, Ross",Unknown,Unknown,"The sPHENIX experiment, under construction at Brookhaven National Lab’s Relativistic Heavy Ion Collider, will take first data in 2023, beginning a broad experimental program that will study the emergent properties of QCD in the Quark Gluon Plasma, the structure of jets, and the spin structure of nucleons.  The observables that enable these studies require precise tracking provided by three tracking detectors:  The innermost MAPS-based vertex detector, a high time-resolution silicon strip detector, and a compact time projection chamber (TPC) with continuous readout through a GEM-based avalanche stage.  To meet the needs of the physics program, distortions of the trajectories of drift electrons in the TPC, due to magnetic field and spacecharge effects, must be accurately measured and corrected.  In addition to monitoring time-averaged distortions through particle tracks, the TPC has several dedicated components to constrain the distortions.  The charge arriving at the readout is digitized and summed into a 'digital current', which monitors the spacecharge flowing back into the volume, and two laser calibration systems monitor the static and short-timescale components of the distortions directly. This poster will discuss the expected magnitudes and structures of the distortions, the systems that monitor those distortions, and the derivation of the necessary corrections; details of how these corrections are implemented in tracking are described in a separate poster.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ross', 'last_name': 'Corliss', 'fullName': 'Corliss, Ross', 'id': '6539921', 'affiliation': '', 'emailHash': 'a54719986952491eab64e7989c31f9ef', 'db_id': 6539921, 'person_id': 6348510}"
