Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Parallel Session T14: Hadron production and collective dynamics,parallel,Search for collective effects in small systems obtained in ep collisions at HERA,"Sun, Chuan",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chuan', 'last_name': 'Sun', 'fullName': 'Sun, Chuan', 'id': '6544800', 'affiliation': 'Stony Brook University', 'emailHash': 'bf175c1621ab5cb87be5fc1b3ed44452', 'db_id': 6544800, 'person_id': 6476032}"
"Parallel Session T02: Chirality, vorticity and spin polarization",parallel,Collectivity in intermediate-scale QGP and extended hydrodynamic regime,"Yin, Yi","Institute of modern physics, Chinese Academy of Sciencessti",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yi', 'last_name': 'Yin', 'fullName': 'Yin, Yi', 'id': '6508645', 'affiliation': 'Institute of modern physics, Chinese Academy of Sciencessti', 'emailHash': '30568204748e2c117ee6102f488c739c', 'db_id': 6508645, 'person_id': 6336064}"
Parallel Session T06: Lattice QCD and heavy-ion collisions,parallel,Lattice QCD results for the heavy quark diffusion coefficient,"Altenkort, Luis",Universität Bielefeld,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Luis', 'last_name': 'Altenkort', 'fullName': 'Altenkort, Luis', 'id': '6508512', 'affiliation': 'Universität Bielefeld', 'emailHash': '2d909334ca58a146d917e22e714117fc', 'db_id': 6508512, 'person_id': 6339624}"
Parallel Session T12: New theoretical developments,parallel,A first step towards quantum simulating jet evolution in a dense medium,"Barata, João",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'João', 'last_name': 'Barata', 'fullName': 'Barata, João', 'id': '6511670', 'affiliation': '', 'emailHash': 'fe4acb8d1beeb5499f57f94d4f131590', 'db_id': 6511670, 'person_id': 6331280}"
Parallel Session T15: Future facilities and new instrumentation,parallel,Approaching first physics in NICA-MPD at JINR,"Ayala, Alejandro","Instituto de Ciencias Nucleares, Universidad Nacional Autonoma de Mexico",UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alejandro', 'last_name': 'Ayala', 'fullName': 'Ayala, Alejandro', 'id': '6699730', 'affiliation': 'Instituto de Ciencias Nucleares, Universidad Nacional Autonoma de Mexico', 'emailHash': '0e7430d668e3ccde26b8cbbd9bacb42d', 'db_id': 6699730, 'person_id': 6623509}"
Parallel Session T15: Future facilities and new instrumentation,parallel,Expected performance results from upgraded LHCb and SMOG II,"Mariani, Saverio","Universita e INFN, Firenze (IT)",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Saverio', 'last_name': 'Mariani', 'fullName': 'Mariani, Saverio', 'id': '6584729', 'affiliation': 'Universita e INFN, Firenze (IT)', 'emailHash': 'aed0307bd0bd1d8d079bb621e38241a3', 'db_id': 6584729, 'person_id': 6513064}"
Parallel Session T14: Hadron production and collective dynamics,parallel,Strong and Electromagnetic Collective Effects from NA61/SHINE,Unknown,Unknown,Unknown,
Parallel Session T01: Initial state physics and approach to thermal equilibrium,parallel,Constraints on neutron skin thickness and nuclear deformations using relativistic heavy-ion collisions from STAR,"Xu, Haojie",Huzhou University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Haojie', 'last_name': 'Xu', 'fullName': 'Xu, Haojie', 'id': '6586440', 'affiliation': 'Huzhou University', 'emailHash': 'b8d2237d1251e663ffa8033a69359727', 'db_id': 6586440, 'person_id': 6336125}"
"Parallel Session T11: Heavy flavors, quarkonia, and strangeness production",parallel,Recent heavy flavor results from the STAR experiment,"Zhang, Ziyue",University of Illinois at Chicago,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ziyue', 'last_name': 'Zhang', 'fullName': 'Zhang, Ziyue', 'id': '6586431', 'affiliation': 'University of Illinois at Chicago', 'emailHash': 'e2fed2cedb16bae49930b0fb86f604fc', 'db_id': 6586431, 'person_id': 6514693}"
Parallel Session T14: Hadron production and collective dynamics,parallel,Probing initial and final state effects of heavy-ion collisions with STAR experiment,"Yan, Gaoguo",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gaoguo', 'last_name': 'Yan', 'fullName': 'Yan, Gaoguo', 'id': '6586451', 'affiliation': '', 'emailHash': '14eaca4e5db172a6164129591a5c6175', 'db_id': 6586451, 'person_id': 6514711}"
