Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
,poster,Third-body Coulomb effect in pion correlation femtoscopy,"Kraeva, Anna",National Research Nuclear  University MEPhI (RU),UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anna', 'last_name': 'Kraeva', 'fullName': 'Kraeva, Anna', 'id': '9536159', 'affiliation': 'National Research Nuclear  University MEPhI (RU)', 'emailHash': '9091199e8b92639b495e911cb9d9260c', 'db_id': 9536159, 'person_id': 8930521}"
,poster,EPJA Featured Poster: How much angular momentum is stopped at midrapidity in collisions from O(1) to O(1000) GeV energies?,"Akridge, Zachary",Indiana University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zachary', 'last_name': 'Akridge', 'fullName': 'Akridge, Zachary', 'id': '9360896', 'affiliation': 'Indiana University', 'emailHash': 'bdb4e5c81f529fcbe01d558777b94839', 'db_id': 9360896, 'person_id': 8925230}"
,poster,Bottomonium Suppression in $p+{\rm Pb}$ Collisions at the LHC},"Thapa, Sabin",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sabin', 'last_name': 'Thapa', 'fullName': 'Thapa, Sabin', 'id': '9524728', 'affiliation': '', 'emailHash': '58e4f053e3328ead66cda86b04276cd2', 'db_id': 9524728, 'person_id': 8874368}"
,poster,Probing initial state effects in nuclear collisions via dijet and spectator neutron measurements with the ATLAS detector,"Hu, Qipeng",University of Science and Technology of China (CN),China,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Qipeng', 'last_name': 'Hu', 'fullName': 'Hu, Qipeng', 'id': '9524347', 'affiliation': 'University of Science and Technology of China (CN)', 'emailHash': '9af0ff76e7af9ee0a48a24b84d41f2ec', 'db_id': 9524347, 'person_id': 8922021}"
,poster,New Constraints on the Existence of Massive Monopoles in Ultra-Peripheral Heavy Ion Collisions with ATLAS,"Shemyakin, Dmitry",Weizmann Institute of Science (IL),IL,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dmitry', 'last_name': 'Shemyakin', 'fullName': 'Shemyakin, Dmitry', 'id': '9524339', 'affiliation': 'Weizmann Institute of Science (IL)', 'emailHash': '277841d351e51c62b02fde58664de25a', 'db_id': 9524339, 'person_id': 9256187}"
,poster,Measurement of jet radius dependence of dijet momentum balance in Pb+Pb collisions with ATLAS,"Novotny, Patrik",Weizmann Institute of Science (IL),IL,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Patrik', 'last_name': 'Novotny', 'fullName': 'Novotny, Patrik', 'id': '9524338', 'affiliation': 'Weizmann Institute of Science (IL)', 'emailHash': '83d771abf7171326ec846fee4b77d163', 'db_id': 9524338, 'person_id': 9256185}"
,poster,ATLAS measurements of coincident photon induced processes in ultra-peripheral Pb+Pb collisions,"Balek, Petr",AGH University of Krakow (PL),CZ,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Petr', 'last_name': 'Balek', 'fullName': 'Balek, Petr', 'id': '9466127', 'affiliation': 'AGH University of Krakow (PL)', 'emailHash': 'f748d185730431f6552dd03ccc33f0f4', 'db_id': 9466127, 'person_id': 8862414}"
,poster,Jet substructure measurements with large radius jets with ATLAS,"Rybar, Martin",Charles University (CZ),United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin', 'last_name': 'Rybar', 'fullName': 'Rybar, Martin', 'id': '9466126', 'affiliation': 'Charles University (CZ)', 'emailHash': 'b3e6c12fabc90ce0a37121aa6f8b6912', 'db_id': 9466126, 'person_id': 8879620}"
,poster,Jet trigger in lead-lead collisions at ATLAS during LHC Run 3,"Vana, Pavel",Charles University (CZ),CZ,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pavel', 'last_name': 'Vana', 'fullName': 'Vana, Pavel', 'id': '9466125', 'affiliation': 'Charles University (CZ)', 'emailHash': '78d3a7569bddf3f64416f3deefac3be8', 'db_id': 9466125, 'person_id': 9203672}"
,poster,Energy and jet measurements at forward rapidities in Pb+Pb collisions at 5.36 TeV with the ATLAS detector,"Pauwels, Franciszek",Charles University (CZ),CZ,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Franciszek', 'last_name': 'Pauwels', 'fullName': 'Pauwels, Franciszek', 'id': '9466102', 'affiliation': 'Charles University (CZ)', 'emailHash': '71926ab5cf2d618237de77ea00595f6c', 'db_id': 9466102, 'person_id': 9203648}"
,poster,Charged particles tracking in heavy ion collisions for ATLAS in Run 4,"Mlynarski, Luthien",AGH University of Krakow (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Luthien', 'last_name': 'Mlynarski', 'fullName': 'Mlynarski, Luthien', 'id': '9466101', 'affiliation': 'AGH University of Krakow (PL)', 'emailHash': '1410e2bceaa36e64a492b4449171ae3b', 'db_id': 9466101, 'person_id': 9203647}"
