Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
,poster,Third-body Coulomb effect in pion correlation femtoscopy,"Kraeva, Anna",National Research Nuclear  University MEPhI (RU),UK,"The characteristics of the system created in collisions of heavy ions can be explored via spatial and temporal parameters obtained using the method of correlation femtoscopy. 
At low energies, the size of the particle emission region extracted from femtoscopic correlations is affected by the initial system isotopic spin and Coulomb interaction of the correlated particles with the residual electric charge.
Studies of such effects on the reaction dynamics can provide a clearer estimation of the temporal characteristics of the particle emission processes.

In this report, the results of the measurements of femtoscopic correlations will be presented for identical pions produced in Au+Au collisions at a high-baryon density regime using the UrQMD (Ultrarelativistic Quantum Molecular Dynamics) model. The influence of the isospin and residual electric charge on the femtoscopic parameters is demonstrated, and the implementation in the experiments to evaluate the influence of effects is discussed.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anna', 'last_name': 'Kraeva', 'fullName': 'Kraeva, Anna', 'id': '9536159', 'affiliation': 'National Research Nuclear  University MEPhI (RU)', 'emailHash': '9091199e8b92639b495e911cb9d9260c', 'db_id': 9536159, 'person_id': 8930521}"
Parallel session 17,parallel,EPJ Featured Talk: The collectivity of transverse momentum fluctuations,"Parida, Tribhuban",IISER Berhampur,Unknown,"Event-by-event fluctuations of the transverse momentum per particle $[p_T]$ have been measured in heavy-ion collisions at RHIC and LHC, but this topic has so far received less attention than anisotropic flow. Yet the physical mechanism is identical for both phenomena: A long-range correlation in the initial stages, followed by collective expansion. While the origin of anisotropic flow is a fluctuation in the shape of the fireball, that of $[p_T]$ fluctuations is a fluctuation in the initial temperature. It generates a fluctuation in the fluid velocity, which is carried over to the $p_T$ spectrum of outgoing particles. The same fluctuation is present at all rapidities and generates a long-range correlation. 

We make hydrodynamic predictions for the fluctuation of the spectrum, which is a new observable $v_0(p_T)$ introduced by Schenke, Shen and Teaney [https://arxiv.org/abs/2004.00690] which has not yet been measured, and for which first experimental results will hopefully be shown at this conference. Like anisotropic flow $v_n(p_T)$, $v_0(p_T)$ is predicted to have a strong mass ordering in the $p_T$ range where hydrodymamics applies. We show that our hydrodynamic calculation reproduces precisely the observed dependence of $[p_T]$ fluctuations on $p_T$ cuts which has previously been observed by PHENIX and ATLAS. We argue that the mechanism of quark coalescence should give rise to a splitting between the $v_0(p_T)$ of baryons and mesons at higher $p_T$, similar to that observed for anisotropic flow.

Based on Parida, Samanta, Ollitrault, Phys.Lett.B 857 (2024) 138985 [2407.17313].","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tribhuban', 'last_name': 'Parida', 'fullName': 'Parida, Tribhuban', 'id': '9288627', 'affiliation': 'IISER Berhampur', 'emailHash': '78265100fa336297de1f4f8878bc5010', 'db_id': 9288627, 'person_id': 8847429}"
,poster,EPJA Featured Poster: How much angular momentum is stopped at midrapidity in collisions from O(1) to O(1000) GeV energies?,"Akridge, Zachary",Indiana University,USA,"The spin polarization of hadrons emitted from heavy-ion collisions can serve as a probe of the angular momentum contained within the colliding system. Recent measurements of hyperon global spin polarization at midrapidity from ALICE, STAR, and HADES, spanning a collisional beam energy range from O(1000) to O(1) GeV, have shown a monotonic trend of continually increasing signal with decreasing energy even in the region extremely close to the two-nucleon-mass threshold. This appears surprising, as the angular momentum stopped at midrapidity depends on two competing factors: with decreasing beam energy, the total angular momentum drops quickly while a bigger fraction of the total angular momentum gets stopped in midrapidity. As such, a non-monotonic dependence on beam energy is expected for midrapidity angular momentum, which should first increase with decreasing beam energy and then decrease, approaching zero when beam energy comes down to the threshold.
In this work, we present a quantitative model (dubbed “Glauber+”) of initial nucleon stopping based on general requirements of energy-momentum conservation in binary collisions. We further use measurements of midrapidity net proton numbers to constrain the key model parameter that characterizes the inelasticity of binary collisions. This allows us to predict the initial angular momentum at midrapidity across a wide range of beam energies, which indeed shows a non-monotonic behavior with a peak around 5 GeV. The discord in the beam energy dependence between initial angular momentum and the observed global spin polarization casts intriguing questions on conventional interpretations assuming a strong positive correlation between them, especially in the very low energy region. The corresponding rapidity distributions of initial angular momentum are also obtained across beam energies, which could provide valuable initial conditions for spin hydrodynamics simulations.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zachary', 'last_name': 'Akridge', 'fullName': 'Akridge, Zachary', 'id': '9360896', 'affiliation': 'Indiana University', 'emailHash': 'bdb4e5c81f529fcbe01d558777b94839', 'db_id': 9360896, 'person_id': 8925230}"
Parallel session 10,parallel,Critical point and Columbia plot from functional QCD,"Fischer, Christian","University of Giessen, Germany",Unknown,"In the past year, results for the location of the critical point from different
approaches seem to converge towards previous predictions from functional QCD. 
We summarise recent theoretical results of the latter approach on the 
Columbia plot [1], the QCD phase diagram and the location of the critical 
point at finite baryon chemical potential [3]. We highlight our efforts to 
systematically gauge the approach by making contact with lattice results 
at zero and imaginary chemical potential [2] in various regions of the Columbia 
plot [1]. We furthermore discuss steps towards making contact with experiment 
via baryon number fluctuations [4].

[1] J. Bernhardt and C. S. Fischer, Phys. Rev. D 108 (2023) no.11, 114018
[2] J. Bernhardt and C. S. Fischer, Eur. Phys. J. A 59  (2023) no.8, 181
[3] P. J. Gunkel and C. S. Fischer, Phys. Rev. D 104 (2021) no.5, 054022
[4] P. Isserstedt, M. Buballa, C. S. Fischer and P. J. Gunkel, Phys. Rev. D 100 (2019) no.7, 074011","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christian', 'last_name': 'Fischer', 'fullName': 'Fischer, Christian', 'id': '9288979', 'affiliation': 'University of Giessen, Germany', 'emailHash': '3e9dc8ed318dd23cc5efa20bf3c3e74c', 'db_id': 9288979, 'person_id': 8938646}"
Parallel session 35,parallel,Non-Fluctuational Signature of the QCD Critical Point,"Sogabe, Noriyuki",University of Illinois Chicago,USA,"We study the influence of the QCD critical point on the trajectories describing the evolution of the expanding fireball in heavy-ion collisions. We find that the lines of constant specific entropy (entropy per baryon) on the phase diagram are drawn towards a special point on the coexistence (first-order) line where the specific entropy reaches a maximum [1]. We study the interplay between this feature of the isentropic trajectories and the freezeout curve. If the critical point is located near the freezeout curve, a region inaccessible by isentropic expansion appears on the freezeout curve. This behavior of the isentropes could provide a novel, non-fluctuational signature of the critical point requiring significantly lower statistics than the fluctuational signatures. 

[1] Maneesha Sushama Pradeep, Noriyuki Sogabe, Mikhail Stephanov, and Ho-Ung Yee, Phys. Rev. C **109**, 064905 (2024).","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Noriyuki', 'last_name': 'Sogabe', 'fullName': 'Sogabe, Noriyuki', 'id': '9288942', 'affiliation': 'University of Illinois Chicago', 'emailHash': 'de1f6b0c94f897f419329f2cbbef3513', 'db_id': 9288942, 'person_id': 8936593}"
,poster,Bottomonium Suppression in $p+{\rm Pb}$ Collisions at the LHC},"Thapa, Sabin",Unknown,Unknown,"We calculate the suppression of the $\Upsilon$(nS) states in $p+{\rm Pb}$
collisions relative to $p+p$ collisions, including both cold matter effects (nuclear parton distribution function (nPDF) modifications, coherent energy loss, momentum broadening) and hot matter effects.

The suppression of bottomonium states in the hot medium is treated two ways: a next-to-leading-order open quantum system framework formulated within potential nonrelativistic quantum chromodynamics [1] and solving kinetic rate equations using perturbative and nonperturbative rates [2]. The results for the $\Upsilon$(nS) $R_{pA}$ in these two approaches is obtained as a function of transverse momentum and rapidity and compared to data.

[1] M. Strickland, S. Thapa, and R. Vogt, Bottomonium suppression in 5.02 and 8.16 TeV $p-$Pb collisions, Phys. Rev. D **109**, 096016 (2024).

[2] J. Boyd, M. Strickland, R. Rapp, S. Thapa, R. Vogt and B. Wu, Semi-classical treatment of bottomonium suppression in $p+{\rm Pb}$ collisions,  in preparation.

This work was performed under the auspices of the U.S.\ DoE by LLNL under Contract DE-AC52-07NA27344 and the HEFTY Collaboration.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sabin', 'last_name': 'Thapa', 'fullName': 'Thapa, Sabin', 'id': '9524728', 'affiliation': '', 'emailHash': '58e4f053e3328ead66cda86b04276cd2', 'db_id': 9524728, 'person_id': 8874368}"
Parallel session 23,parallel,Hadron Production in Au+Au Collisions from STAR Fixed-Target Experiment,"Li, Hongcan",Central China Normal University,Unknown,"Hadrons have been suggested as sensitive probes for the medium properties of nuclear matter created in heavy-ion collisions. A dense baryon-rich medium is formed during collisions at center-of-mass energies of a few-GeV. Since (anti-)strange hadrons and anti-protons are produced near or below the threshold, their phase space distribution and yield ratios may provide strong constraints on the equation of state (EoS) of high baryon density matter.



In this presentation, the recent results on $\pi^{\pm}$, $\rm{K}^{\pm}$($\rm{K}^0_S$), $\phi$, $p$($\overline{p}$), $\Lambda (\overline{\Lambda})$ and $\Xi^-(\overline{\Xi}^{+})$  production at $\sqrt{s_{\rm{NN}}}$ = 3.0 - 7.7 GeV in Au + Au collisions with fixed-target mode from the STAR experiment will be presented. The transverse momentum spectra ($p_{\rm T}$), rapidity density distributions (dN/dy) and their yield ratios as a function of centrality and collision energy are able to provide unique information about QCD phase structure. The $p_{\rm T}$ spectra and dN/dy ratios of baryon to anti-baryon will provide important input to differentiate between hadron production via quark coalescence and hadronic scattering. Enhancement of baryon to meson ratio hints at an onset of deconfinement in this energy range. We will also explore the centrality dependence of hadron yields, and the evolution of the chemical and kinetic freeze-out temperature, baryon chemical potential and average radial expansion flow in the reported energy range, which can give insights on the EoS of the created medium. These results will be compared with those from higher collision energies and the physics implications will be studied by comparing to the model calculations.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hongcan', 'last_name': 'Li', 'fullName': 'Li, Hongcan', 'id': '9414324', 'affiliation': '', 'emailHash': 'c37cf12f1fdb81e4de1d15b36249ff3e', 'db_id': 9414324, 'person_id': 9157265}"
Parallel session 29,parallel,Strangeness production and polarization in fixed-target and proton-lead collisions at LHCb,"Manca, Giulia","Universita` degli studi di Cagliari and INFN, Cagliari, IT",France,"With its precise vertex reconstruction and particle identification capabilities, the LHCb detector is ideally suited to study the production and polarization of strange particles. In addition, being the origin of hyperon polarization from unpolarized proton-proton and proton-nucleus collisions not yet fully understood, measurements in different collision systems and kinematic ranges must be provided. In this contribution, recent LHCb measurements of strange hyperon production and polarization in proton-lead collisions are discussed, including their implications for hadronization modification in small collision systems and for transverse-momentum-dependent parton distributions and fragmentation functions.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Giulia', 'last_name': 'Manca', 'fullName': 'Manca, Giulia', 'id': '9440937', 'affiliation': 'Universita` degli studi di Cagliari and INFN, Cagliari, IT', 'emailHash': 'de9a97bf5f22f606cf7cc9c4e92491db', 'db_id': 9440937, 'person_id': 9182365}"
Parallel session 8,parallel,Heavy-flavor and exotic hadron production in jets at LHCb,"Lesser, Ezra",CERN,Switzerland,"Jets offer a unique laboratory for studying the production of heavy-flavor hadrons and quarkonia, including exotic hadron candidates. 
With a full range of precision vertexing, tracking, and particle ID capabilities covering forward rapidity, the LHCb experiment is especially well suited to measurements of heavy-flavor and exotic hadron production. This talk will present recent LHCb studies of exotic hadron production in jets, as well as studies of heavy-flavor-jet substructure.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ezra', 'last_name': 'Lesser', 'fullName': 'Lesser, Ezra', 'id': '9396824', 'affiliation': 'CERN', 'emailHash': 'd9e506ca85227c37972300c2eefeb9af', 'db_id': 9396824, 'person_id': 9140854}"
Parallel session 27,parallel,Open charm production from small to large systems at LHCb,"Durham, John Matthew",Los Alamos National Laboratory,USA,"Open charm production is a sensitive probe of both hot and cold nuclear matter effects. Charm meson production provides strong constraints on nuclear parton distributions, while charm baryon and strange charm hadron production can be used to probe strangeness- and baryon-enhancing hot QCD effects, respectively. The LHCb detector is designed to study heavy flavor hadrons at the LHC, providing unique opportunities to study open charm production in heavy-ion collisions. In this contribution, recent LHCb results on open charm production will be discussed, as well as progress on studies of strangeness and baryon enhancement in the heavy flavor sector with 2024 PbPb data.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'John Matthew', 'last_name': 'Durham', 'fullName': 'Durham, John Matthew', 'id': '9440936', 'affiliation': 'Los Alamos National Laboratory', 'emailHash': '9f7df025a17bd14ff5a7a77daa7f3b5e', 'db_id': 9440936, 'person_id': 9182364}"
