Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Parallel session 17,parallel,EPJ Featured Talk: The collectivity of transverse momentum fluctuations,"Parida, Tribhuban",IISER Berhampur,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tribhuban', 'last_name': 'Parida', 'fullName': 'Parida, Tribhuban', 'id': '9288627', 'affiliation': 'IISER Berhampur', 'emailHash': '78265100fa336297de1f4f8878bc5010', 'db_id': 9288627, 'person_id': 8847429}"
Parallel session 10,parallel,Critical point and Columbia plot from functional QCD,"Fischer, Christian","University of Giessen, Germany",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christian', 'last_name': 'Fischer', 'fullName': 'Fischer, Christian', 'id': '9288979', 'affiliation': 'University of Giessen, Germany', 'emailHash': '3e9dc8ed318dd23cc5efa20bf3c3e74c', 'db_id': 9288979, 'person_id': 8938646}"
Parallel session 35,parallel,Non-Fluctuational Signature of the QCD Critical Point,"Sogabe, Noriyuki",University of Illinois Chicago,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Noriyuki', 'last_name': 'Sogabe', 'fullName': 'Sogabe, Noriyuki', 'id': '9288942', 'affiliation': 'University of Illinois Chicago', 'emailHash': 'de1f6b0c94f897f419329f2cbbef3513', 'db_id': 9288942, 'person_id': 8936593}"
Parallel session 23,parallel,Hadron Production in Au+Au Collisions from STAR Fixed-Target Experiment,"Li, Hongcan",Central China Normal University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hongcan', 'last_name': 'Li', 'fullName': 'Li, Hongcan', 'id': '9414324', 'affiliation': '', 'emailHash': 'c37cf12f1fdb81e4de1d15b36249ff3e', 'db_id': 9414324, 'person_id': 9157265}"
Parallel session 29,parallel,Strangeness production and polarization in fixed-target and proton-lead collisions at LHCb,"Manca, Giulia","Universita` degli studi di Cagliari and INFN, Cagliari, IT",France,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Giulia', 'last_name': 'Manca', 'fullName': 'Manca, Giulia', 'id': '9440937', 'affiliation': 'Universita` degli studi di Cagliari and INFN, Cagliari, IT', 'emailHash': 'de9a97bf5f22f606cf7cc9c4e92491db', 'db_id': 9440937, 'person_id': 9182365}"
Parallel session 8,parallel,Heavy-flavor and exotic hadron production in jets at LHCb,"Lesser, Ezra",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ezra', 'last_name': 'Lesser', 'fullName': 'Lesser, Ezra', 'id': '9396824', 'affiliation': 'CERN', 'emailHash': 'd9e506ca85227c37972300c2eefeb9af', 'db_id': 9396824, 'person_id': 9140854}"
Parallel session 27,parallel,Open charm production from small to large systems at LHCb,"Durham, John Matthew",Los Alamos National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'John Matthew', 'last_name': 'Durham', 'fullName': 'Durham, John Matthew', 'id': '9440936', 'affiliation': 'Los Alamos National Laboratory', 'emailHash': '9f7df025a17bd14ff5a7a77daa7f3b5e', 'db_id': 9440936, 'person_id': 9182364}"
Parallel session 27,parallel,Charmonium production measurements from small to large systems at LHCb,"De Angelis, Camilla","Universita e INFN, Cagliari (IT)",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Camilla', 'last_name': 'De Angelis', 'fullName': 'De Angelis, Camilla', 'id': '9396803', 'affiliation': 'Universita e INFN, Cagliari (IT)', 'emailHash': '5deebf491dbcf9fd8902e18ec40d5516', 'db_id': 9396803, 'person_id': 9140842}"
Parallel session 29,parallel,Deciphering (anti)hypertriton spin from its global polarization in heavy-ion collisions,"Sun, KaiJia","Institute of Modern Physics, Fudan University, Shanghai, China",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'KaiJia', 'last_name': 'Sun', 'fullName': 'Sun, KaiJia', 'id': '9289007', 'affiliation': 'Institute of Modern Physics, Fudan University, Shanghai, China', 'emailHash': '2e132dd95185baf2c04021a64d830f8b', 'db_id': 9289007, 'person_id': 8881904}"
Parallel session 23,parallel,Production of nuclei and hypernuclei in relativistic ion collisions,"Botvina, Alexander","ITP, University of Frankfurt am Main",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander', 'last_name': 'Botvina', 'fullName': 'Botvina, Alexander', 'id': '9289005', 'affiliation': 'ITP, University of Frankfurt am Main', 'emailHash': '0bc4e05e7fddf1a0e7bc5a8373c35b30', 'db_id': 9289005, 'person_id': 8937351}"
