Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Parallel Session - Initial state  I,parallel,Probing modification of the initial state in small systems via jets detected in PHENIX,"Runchey for the PHENIX Collaboration, Jonathan",Iowa State University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jonathan', 'last_name': 'Runchey for the PHENIX Collaboration', 'fullName': 'Runchey for the PHENIX Collaboration, Jonathan', 'id': '4596120', 'affiliation': 'Iowa State University', 'emailHash': '5aa33062722a60ca6c4b56d92aa66ddb', 'db_id': 4596120, 'person_id': 4585278}"
Parallel Session - QCD at finite temperature I,parallel,Regressive and generative neural networks for scalar field theory,"Zhou, Kai","FIAS, Goethe-University Frankfurt am Main",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kai', 'last_name': 'Zhou', 'fullName': 'Zhou, Kai', 'id': '4556923', 'affiliation': 'FIAS, Goethe-University Frankfurt am Main', 'emailHash': '35367f3a1455b215b7094f127ab982e2', 'db_id': 4556923, 'person_id': 4525616}"
Parallel Session - QCD at finite temperature I,parallel,Structure and Signals for a Lifshitz Regime,"Pisarski, Robert",Brookhaven National Lab.,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Robert', 'last_name': 'Pisarski', 'fullName': 'Pisarski, Robert', 'id': '4556926', 'affiliation': 'Brookhaven National Lab.', 'emailHash': '217202798ae2f700f97cccb6b0ff593f', 'db_id': 4556926, 'person_id': 4570517}"
Parallel Session - Future facilities,parallel,Heavy flavor physics with the sPHENIX MAPS vertex tracker upgrade,"Ji for the sPHENIX Collaboration, Yuanjing",University of Science and Technology of China,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yuanjing', 'last_name': 'Ji for the sPHENIX Collaboration', 'fullName': 'Ji for the sPHENIX Collaboration, Yuanjing', 'id': '4615580', 'affiliation': 'University of Science and Technology of China', 'emailHash': '96787664d03bcf9c9ab5395026cc2fad', 'db_id': 4615580, 'person_id': 4698505}"
Parallel Session - QCD at finite temperature III,parallel,Universality driven analytic structure of QCD crossover: radius of convergence and QCD critical point,"Skokov, Vladimir",Brookhaven national laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Vladimir', 'last_name': 'Skokov', 'fullName': 'Skokov, Vladimir', 'id': '4556915', 'affiliation': 'Brookhaven national laboratory', 'emailHash': '0b6847d1a89cd2638b4238138386bffa', 'db_id': 4556915, 'person_id': 4570514}"
Parallel Session - Initial state  I,parallel,"Early thermalization and shear viscosity to entropy ratio in  heavy-ion collisions at energies of BES, FAIR and NICA.","Zabrodin, Evgeny",Universiyu of Oslo,NO,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Evgeny', 'last_name': 'Zabrodin', 'fullName': 'Zabrodin, Evgeny', 'id': '4556891', 'affiliation': 'Universiyu of Oslo', 'emailHash': '02fd851f87c7e8f877b1db33d875392c', 'db_id': 4556891, 'person_id': 4586285}"
Parallel Session - Initial state  I,parallel,Exploring Longitudinal Observables with 3+1D IP-Glasma,"Jeon, Sangyong",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sangyong', 'last_name': 'Jeon', 'fullName': 'Jeon, Sangyong', 'id': '4556865', 'affiliation': 'McGill University', 'emailHash': '5270009e0da9dbc4386fd5bc38e0bca6', 'db_id': 4556865, 'person_id': 4579024}"
Parallel Session - Initial state  I,parallel,Constraining nPDFs with electroweak boson measurements in pPb collisions with the CMS detector,"Kim for the CMS Collaboration, Hyunchul",Chonnam National University (KR),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hyunchul', 'last_name': 'Kim for the CMS Collaboration', 'fullName': 'Kim for the CMS Collaboration, Hyunchul', 'id': '4596158', 'affiliation': 'Chonnam National University (KR)', 'emailHash': '3aa4e6d1c5d93295718bf84d51da4209', 'db_id': 4596158, 'person_id': 4692826}"
Parallel Session - QCD at finite temperature III,parallel,Probing thermal nature of matter formed at RHIC via fluctuations,"Mallick, Debasish",National Institute of Science Education and Research,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Debasish', 'last_name': 'Mallick', 'fullName': 'Mallick, Debasish', 'id': '4556893', 'affiliation': 'National Institute of Science Education and Research', 'emailHash': 'fd926e54b9eb9c6b6864bf96ea8151e6', 'db_id': 4556893, 'person_id': 4584581}"
Parallel Session - QCD at finite temperature II,parallel,Towards a reliable lower limit on the location of the critical endpoint,"Pasztor, Attila",Eotvos University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Attila', 'last_name': 'Pasztor', 'fullName': 'Pasztor, Attila', 'id': '4556904', 'affiliation': 'Eotvos University', 'emailHash': '72df1e66b49349350b6c7fd382a0093e', 'db_id': 4556904, 'person_id': 4586187}"
Parallel Session - QCD at finite temperature III,parallel,QCD equation of state at finite densities for nuclear collisions,"Monnai, Akihiko",High Energy Accelerator Research Organization (KEK),Japan,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Akihiko', 'last_name': 'Monnai', 'fullName': 'Monnai, Akihiko', 'id': '4556911', 'affiliation': 'High Energy Accelerator Research Organization (KEK)', 'emailHash': '892777a4b5c489036351f727841fe3b9', 'db_id': 4556911, 'person_id': 4580163}"
Parallel Session - QCD at finite temperature I,parallel,"The  crossover line in the (T, mu)-phase diagram of QCD","Guenther, Jana N.",University of Wuppertal,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jana N.', 'last_name': 'Guenther', 'fullName': 'Guenther, Jana N.', 'id': '4556917', 'affiliation': 'University of Wuppertal', 'emailHash': '022e70d720fe9957c51016b8aa33a3a2', 'db_id': 4556917, 'person_id': 4586044}"
Parallel Session - QCD at finite temperature I,parallel,Spectral functions for hot pions below Tc,"Gupta, Sourendu",TIFR,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sourendu', 'last_name': 'Gupta', 'fullName': 'Gupta, Sourendu', 'id': '4556931', 'affiliation': 'TIFR', 'emailHash': '6ecbcfdf831d6755f412452ae48fbf46', 'db_id': 4556931, 'person_id': 4584579}"
Parallel Session -  Small systems I,parallel,ATLAS measurements of collective flow of heavy-flavor hadrons in small collision systems,"Lim for the ATLAS Collaboration, Sanghoon",University of Colorado Boulder,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sanghoon', 'last_name': 'Lim for the ATLAS Collaboration', 'fullName': 'Lim for the ATLAS Collaboration, Sanghoon', 'id': '4609001', 'affiliation': 'University of Colorado Boulder', 'emailHash': '900ea421021a5473633d3030865781a9', 'db_id': 4609001, 'person_id': 4584719}"
