Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Small Systems,parallel,Pinning down the origin of collectivity in small systems with ALICE (remote),"Zhao, Mingrui",China Institute of Atomic Energy (CN),China,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mingrui', 'last_name': 'Zhao', 'fullName': 'Zhao, Mingrui', 'id': '7976916', 'affiliation': 'China Institute of Atomic Energy (CN)', 'emailHash': '474c000b999310db901e6c96af4864f0', 'db_id': 7976916, 'person_id': 7681659}"
Initial State,parallel,Pursuing the Precision Study for Color Glass Condensate in Forward Hadron Productions,"Shi, Yu",Shandong University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yu', 'last_name': 'Shi', 'fullName': 'Shi, Yu', 'id': '7819031', 'affiliation': 'Shandong University', 'emailHash': '3e879828623ce53a7632aed8b8718ec2', 'db_id': 7819031, 'person_id': 7551724}"
Jets,parallel,Jet-flow coupling in heavy-ion collisions and the jet-induced diffusion wake,"Yang, Zhong",CCNU,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhong', 'last_name': 'Yang', 'fullName': 'Yang, Zhong', 'id': '8015988', 'affiliation': 'CCNU', 'emailHash': '19367007456f1b280bacec249ba089a2', 'db_id': 8015988, 'person_id': 7541117}"
Heavy Flavor,parallel,Quarkonia as probes of initial and final states in small systems with ALICE (remote),"Choudhury, Subikash",Department of Atomic Energy (IN),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Subikash', 'last_name': 'Choudhury', 'fullName': 'Choudhury, Subikash', 'id': '7974507', 'affiliation': 'Department of Atomic Energy (IN)', 'emailHash': 'b1023c994193c053c3a60e4089566e5a', 'db_id': 7974507, 'person_id': 7681795}"
Heavy Flavor,parallel,Modification of heavy quark hadronization in high multiplicity collisions at LHCb (remote),"Gu, Chenxi",Centre National de la Recherche Scientifique (FR),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chenxi', 'last_name': 'Gu', 'fullName': 'Gu, Chenxi', 'id': '7974508', 'affiliation': 'Centre National de la Recherche Scientifique (FR)', 'emailHash': 'a94062bd7853cc52881d03c9ab8f61ad', 'db_id': 7974508, 'person_id': 7681485}"
Collective Dynamics,parallel,Elliptic and triangular flow of light (anti-)nuclei in Au+Au collisions in the BES-II energies using the STAR detector (remote),"Sharma, Rishabh ",Indian Institute of Science Education and Research (IISER) Tirupati,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rishabh ', 'last_name': 'Sharma', 'fullName': 'Sharma, Rishabh ', 'id': '7908960', 'affiliation': 'Indian Institute of Science Education and Research (IISER) Tirupati', 'emailHash': '704dca1928ae543bebe94bd6ffb9b641', 'db_id': 7908960, 'person_id': 7695846}"
Light Flavor,parallel,Exploring the hadron gas phase of relativistic heavy-ion collisions with ALICE (remote),"Agrawal, Neelima","Universita e INFN, Bologna (IT)",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Neelima', 'last_name': 'Agrawal', 'fullName': 'Agrawal, Neelima', 'id': '7974647', 'affiliation': 'Universita e INFN, Bologna (IT)', 'emailHash': '261aba0db2f0844d37d637cc045e06fc', 'db_id': 7974647, 'person_id': 7681778}"
Light Flavor,parallel,Particle production and collective flow measurements with CMS Run 3 PbPb data (remote),"Wang, Jing",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jing', 'last_name': 'Wang', 'fullName': 'Wang, Jing', 'id': '7974631', 'affiliation': 'CERN', 'emailHash': '84443556008b60ce45b46683f5c26d2b', 'db_id': 7974631, 'person_id': 7787712}"
Jets,parallel,Looking for the dead-cone in heavy-ion collisions with energy correlators (remote),"Moult, Ian James",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ian James', 'last_name': 'Moult', 'fullName': 'Moult, Ian James', 'id': '7819163', 'affiliation': '', 'emailHash': '22f8a50c072dc2a0f43baed11a680c33', 'db_id': 7819163, 'person_id': 7558299}"
Jets,parallel,Revealing the medium-recoil effect with high-$p_\mathrm{T}$ Z boson tagged underlying event distribution in PbPb collisions at CMS (remote),"Chou, Pin-Chun",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pin-Chun', 'last_name': 'Chou', 'fullName': 'Chou, Pin-Chun', 'id': '7974465', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': '977c4bb20b7d72412e5ba0df4c0a8d81', 'db_id': 7974465, 'person_id': 7690216}"
