Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Plenary,plenary,Presentation of QM2019 - Wuhan,"Liu, Feng",Central China Normal University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Feng', 'last_name': 'Liu', 'fullName': 'Liu, Feng', 'id': '3742738', 'affiliation': 'Central China Normal University', 'emailHash': 'a15419b216da77f8dfdc4b29c61ebfbc', 'db_id': 3742738, 'person_id': 3914282}"
Plenary,plenary,Strangeness and nuclei production in nuclear collisions,"Bufalino, Stefania",Politecnico di Torino (IT),Italy,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Stefania', 'last_name': 'Bufalino', 'fullName': 'Bufalino, Stefania', 'id': '3571810', 'affiliation': 'Politecnico di Torino (IT)', 'emailHash': '3154d7540c36db82fa50e507ee9a22f2', 'db_id': 3571810, 'person_id': 3755607}"
Plenary,plenary,Study of small colliding systems,"Yi, Li",Yale University,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Li', 'last_name': 'Yi', 'fullName': 'Yi, Li', 'id': '3571814', 'affiliation': 'Yale University', 'emailHash': '051ea1ac8fa2c71d3cf2035d4da3ada6', 'db_id': 3571814, 'person_id': 3755610}"
Plenary,plenary,Measurement of fluctuations in nuclear collisions,"Reed, Rosi Jan",Lehigh University,United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rosi Jan', 'last_name': 'Reed', 'fullName': 'Reed, Rosi Jan', 'id': '3571804', 'affiliation': 'Lehigh University', 'emailHash': 'cca92ac74c8535f95992cff656dac734', 'db_id': 3571804, 'person_id': 3755601}"
Plenary,plenary,Open heavy flavour production in nuclear collisions,"Bruna, Elena",Universita e INFN Torino (IT),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Elena', 'last_name': 'Bruna', 'fullName': 'Bruna, Elena', 'id': '3571794', 'affiliation': 'Universita e INFN Torino (IT)', 'emailHash': 'edba0656b4d2024032d120ce1123acc4', 'db_id': 3571794, 'person_id': 3755591}"
Plenary,plenary,Quarkonium production in nuclear collisions,"Ma, Rongrong",BNL,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rongrong', 'last_name': 'Ma', 'fullName': 'Ma, Rongrong', 'id': '3571802', 'affiliation': 'BNL', 'emailHash': '4e8b7b778088536e47427a629a542265', 'db_id': 3571802, 'person_id': 3755599}"
Plenary,plenary,Electroweak probes in nuclear collisions,"Novitzky, Norbert",Helsinki Institute of Physics (FI),United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Norbert', 'last_name': 'Novitzky', 'fullName': 'Novitzky, Norbert', 'id': '3571809', 'affiliation': 'Helsinki Institute of Physics (FI)', 'emailHash': '3497c9c0c50ce2bce873cf0574bfce42', 'db_id': 3571809, 'person_id': 3755606}"
Plenary,plenary,Studies of Ultra Peripheral Collisions,"Angerami, Aaron",Lawrence Livermore National Laboratory,United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Aaron', 'last_name': 'Angerami', 'fullName': 'Angerami, Aaron', 'id': '3571815', 'affiliation': 'Lawrence Livermore National Laboratory', 'emailHash': '11b23fd503aed050e358aa1d92b18a9d', 'db_id': 3571815, 'person_id': 3647554}"
Plenary,plenary,Jet modifications in nuclear collisions,"Sickles, Anne Marie",Univ. Illinois at Urbana Champaign (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anne Marie', 'last_name': 'Sickles', 'fullName': 'Sickles, Anne Marie', 'id': '3571807', 'affiliation': 'Univ. Illinois at Urbana Champaign (US)', 'emailHash': '0366a513bc69e08d0cb8da723d7c0547', 'db_id': 3571807, 'person_id': 3755604}"
Plenary,plenary,The future of high-energy heavy-ion facilities,"Grosse-Oetringhaus, Jan Fiete",CERN,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jan Fiete', 'last_name': 'Grosse-Oetringhaus', 'fullName': 'Grosse-Oetringhaus, Jan Fiete', 'id': '3571788', 'affiliation': 'CERN', 'emailHash': '900666055e79df1d031db015aaa505bd', 'db_id': 3571788, 'person_id': 3755580}"
