Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
"Plenary Session I: Equilibration, flow and QGP parameters",plenary,Jet energy loss and equilibration,"Zapp, Korinna Christine",Instituto Superior Tecnico (PT),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Korinna Christine', 'last_name': 'Zapp', 'fullName': 'Zapp, Korinna Christine', 'id': '2935509', 'affiliation': 'Instituto Superior Tecnico (PT)', 'emailHash': 'f23bc3d15fe9d2d4ceca49d84412ec1d', 'db_id': 2935509, 'person_id': 3052737}"
Plenary Session IV: Jet Quenching,plenary,Medium modification of jet structure (RHIC + LHC),"Verweij, Marta",CERN,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marta', 'last_name': 'Verweij', 'fullName': 'Verweij, Marta', 'id': '2944471', 'affiliation': 'CERN', 'emailHash': 'ed51aca80a4464b08bdef8c5b3491f32', 'db_id': 2944471, 'person_id': 3158902}"
Plenary Session III: Search for Critical Phenomena and Chiral Anomalies in Heavy-ion Collisions,plenary,Lattice QCD results on soft and hard probes of strongly interacting matter,"Kaczmarek, Olaf",University of Bielefeld,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Olaf', 'last_name': 'Kaczmarek', 'fullName': 'Kaczmarek, Olaf', 'id': '2969361', 'affiliation': 'University of Bielefeld', 'emailHash': 'cb4a95098e3d70f5197766e4930f78f6', 'db_id': 2969361, 'person_id': 3052730}"
Plenary Session VI: Heavy Flavor and Quarkonia,plenary,"Heavy flavor production, flow and energy loss (experiment)","Dong, Xin",Lawrence Berkeley National Lab,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xin', 'last_name': 'Dong', 'fullName': 'Dong, Xin', 'id': '2944671', 'affiliation': 'Lawrence Berkeley National Lab', 'emailHash': '3d0115e88739be7a3cdf2e8bd3baf020', 'db_id': 2944671, 'person_id': 3159098}"
Plenary Session VII: Other Recent Developments,plenary,Global and local spin polarization in AA collisions,"Wang, Qun",University of Science and Technology of China,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Qun', 'last_name': 'Wang', 'fullName': 'Wang, Qun', 'id': '2969360', 'affiliation': 'University of Science and Technology of China', 'emailHash': '2ce57d8ac65c69f5c8c291795291908d', 'db_id': 2969360, 'person_id': 3052702}"
Plenary Session VI: Heavy Flavor and Quarkonia,plenary,Quarkonium production in AA collisions from SPS to LHC (theory),"Rapp, Ralf",Texas A&M University,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ralf', 'last_name': 'Rapp', 'fullName': 'Rapp, Ralf', 'id': '2943670', 'affiliation': 'Texas A&M University', 'emailHash': '3446e829ed9ec2e749c8cc71307143eb', 'db_id': 2943670, 'person_id': 2974072}"
Plenary Session VI: Heavy Flavor and Quarkonia,plenary,Quarkonium production in AA (experiment),"Scomparin, Enrico ",INFN,Italy,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Enrico ', 'last_name': 'Scomparin', 'fullName': 'Scomparin, Enrico ', 'id': '2725041', 'affiliation': 'INFN', 'emailHash': '5459c1ec7e1a4eceb5e6fbbaf91f372c', 'db_id': 2725041, 'person_id': 2922202}"
Plenary Session VI: Heavy Flavor and Quarkonia,plenary,"Heavy flavor production, flow and energy loss (theory)","Greco, Vincenzo",University of Catania,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Vincenzo', 'last_name': 'Greco', 'fullName': 'Greco, Vincenzo', 'id': '2944836', 'affiliation': 'University of Catania', 'emailHash': 'cd787b9559167b4b7fba0680f6717165', 'db_id': 2944836, 'person_id': 3052306}"
Plenary Session V: Electromagnetic radiation,plenary,Photon and dilepton flow from pp to AA,"Paquet, Jean-Francois",Stony Brook University,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jean-Francois', 'last_name': 'Paquet', 'fullName': 'Paquet, Jean-Francois', 'id': '2944154', 'affiliation': 'Stony Brook University', 'emailHash': 'bb41bc924f45339a336d0f526930a9d2', 'db_id': 2944154, 'person_id': 2973836}"
Plenary Session V: Electromagnetic radiation,plenary,Photon and dilepton observables: experimental overview,"Campbell, Sarah",Columbia University (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sarah', 'last_name': 'Campbell', 'fullName': 'Campbell, Sarah', 'id': '2944637', 'affiliation': 'Columbia University (US)', 'emailHash': 'f1c0469bd69a65f066b1a701624e4973', 'db_id': 2944637, 'person_id': 3052725}"
