Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Poster Session,poster,Quasiparticle anisotropic hydrodynamics for central collisions,"Alqahtani, Mubarak",Kent State University,Unknown,"We use quasiparticle anisotropic hydrodynamics to study an azimuthally-symmetric boost-invariant quark-gluon plasma including the effects of both shear and bulk viscosities. In quasiparticle anisotropic hydrodynamics, a single finite-temperature quasiparticle mass is introduced and fit to the lattice data in order to implement a realistic equation of state (EoS).  We compare results obtained using the quasiparticle method with the standard method of imposing the EoS in anisotropic hydrodynamics and viscous hydrodynamics.  Using these three methods, we extract the primordial particle spectra, total number of charged particles, and average transverse momentum for various values of the shear viscosity to entropy density ratio $\eta/s$.  We find that the three methods agree well for small shear viscosity to entropy density ratio, $\eta/s$, but differ at large $\eta/s$, with the standard anisotropic EoS method showing suppressed production at low transverse-momentum compared to the other two methods considered.  Finally, we demonstrate explicitly that, when using standard viscous hydrodynamics, the bulk-viscous correction can drive the primordial particle spectra negative at large $p_T$.  Such a behavior is not seen in either anisotropic hydrodynamics approach, irrespective of the value of $\eta/s$.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mubarak', 'last_name': 'Alqahtani', 'fullName': 'Alqahtani, Mubarak', 'id': '2778354', 'affiliation': 'Kent State University', 'emailHash': 'b2a1114eb092e6a2e1c30949d6867119', 'db_id': 2778354, 'person_id': 2973555}"
Poster Session,poster,"Advanced hydrodynamical description of initial energy density in Cu+Cu, Au+Au, and Pb+Pb collisions at RHIC and LHC","Jiang, Zefang",CCNU,Unknown,"We generalize a previously known class analytic, exact solutions of relativistic, prefect fluid hydrodynamics for the new results of pseudorapidity distributions. These advanced results include a broad centrality range evolution in Cu+Cu, Au+Au, Pb+Pb at RHIC and LHC with a series of acceleration parameter $\lambda$. Based on advanced hydrodynamic energy density estimation which taking acceleration effects into account, a clear energy density corrected ratio dependence of the pressure gradients and volume expanding is first presented.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zefang', 'last_name': 'Jiang', 'fullName': 'Jiang, Zefang', 'id': '2778358', 'affiliation': 'CCNU', 'emailHash': '66b167a7061358f80509e865da5eeca6', 'db_id': 2778358, 'person_id': 2973558}"
Poster Session,poster,Phenomenological predictions of 3+1d anisotropic hydrodynamics,"Nopoush, Mohammad",Kent State University,Unknown,"We make phenomenological predictions for particle spectra and flow in heavy-ion col- lisions using 3+1d anisotropic hydrodynamics (aHydro) including the effects of both bulk and shear viscosities. The dynamical equations necessary are derived by taking moments of Boltzmann equation allowing for three distinct momentum-space anisotropy parameters. The formulation is based on relaxation-time approximation for the collisional kernel and a lattice-QCD-based equation of state. Evolving the system to late times, we calculate par- ticle production using THERMINATOR modified to account for an ellipsoidal distribution function. We obtain particle spectra for different particle types such as pions, kaons, and protons and elliptic flow, $v_2$, as a function of centrality, transverse momentum, and rapidity. In our model, we have four free parameters, i.e. freeze-out temperature, initial energy den- sity, initial momentum-space anisotropy, and shear viscosity to entropy density ratio. Using a multidimensional fit to LHC experimental data, we extract these parameters. We find good agreement between 3+1d aHydro and available experimental data.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mohammad', 'last_name': 'Nopoush', 'fullName': 'Nopoush, Mohammad', 'id': '2778359', 'affiliation': 'Kent State University', 'emailHash': '0de7a98ce52e94798d68be7abb0b5ad2', 'db_id': 2778359, 'person_id': 2973559}"
Poster Session,poster,"Measurement of neutral mesons in Pb-Pb collisions at $\sqrt{s_{\text{NN}}}=5.02\,\text{TeV}$ with PCM in ALICE","Danisch, Meike Charlotte",Ruprecht-Karls-Universitaet Heidelberg (DE),KR,"Neutral mesons can provide important information on the energy loss of partons traversing the hot and dense state of matter, which is created in high energy heavy-ion collisions.
Furthermore, they constitute the largest background contribution for direct photons, which are also a very important tool to study the properties of the Quark Gluon Plasma.
In the ALICE experiment, neutral mesons can be measured via their decay to two photons. 
Apart from the two calorimeters EMCal and PHOS, photons can be reconstructed also via the Photon Conversion Method (PCM). 
The latter exploits the fact that a photon can convert to an electron-positron pair. 
These charged particles can be detected via their tracks in the Time Projection Chamber (TPC) and the Inner Tracking System (ITS). 
The PCM allows the measurement of both photons and neutral mesons, carrying low transverse momenta (down to $p_{\text{T}} \approx 1\,\text{GeV}$), with very good energy resolution.
Apart from presenting the performance of the photon conversion method, first results on the $\pi^{0}$ and $\eta$ meson production in Pb-Pb collisions 
with a center-of-mass collision energy per nucleon of $\sqrt{s_{\text{NN}}}=5.02\,\text{TeV}$ will be shown.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Meike Charlotte', 'last_name': 'Danisch', 'fullName': 'Danisch, Meike Charlotte', 'id': '2778361', 'affiliation': 'Ruprecht-Karls-Universitaet Heidelberg (DE)', 'emailHash': '4c3c6b98d9d480fbfb0078ca1899fde9', 'db_id': 2778361, 'person_id': 2973560}"
Poster Session,poster,Quark self-energy in an ellipsoidally anisotropic quark-gluon plasma,"Salehi Kasmaei, Babak",Kent State University,Unknown,"We calculate the quark self-energy in a quark-gluon plasma that possesses an ellipsoidal momentum-space anisotropy in the local rest frame. By introducing additional transverse momentum anisotropy parameters into the parton distribution functions, we generalize previous results which were obtained for the case of a spheroidal anisotropy. Our results demonstrate that the presence of anisotropies in the transverse directions affects the real and imaginary parts of quark self-energy and, consequently, the self-energy depends on both the polar and azimuthal angles in the local rest frame of the matter. Our results for the quark self-energy set the stage for the calculation of the effects of ellipsoidal momentum-space anisotropy on quark-gluon plasma photon spectra and collective flow.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Babak', 'last_name': 'Salehi Kasmaei', 'fullName': 'Salehi Kasmaei, Babak', 'id': '2778362', 'affiliation': 'Kent State University', 'emailHash': '90266c3849c1b5659862d055af19388a', 'db_id': 2778362, 'person_id': 2973561}"
Poster Session,poster,Measurement of ${\rm D}^{0}$-meson elliptic flow in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$=5.02 TeV with ALICE.,"Rossi, Andrea","Universita e INFN, Padova (IT)",Italy,"Produced in hard-scattering processes in the initial stage of the collision, heavy quarks probe the whole evolution of the deconfined system (Quark-Gluon Plasma) formed in ultra-relativistic heavy-ion collisions. The measurement of the azimuthal anisotropy of D-meson production is crucial to understand charm quark in-medium energy loss and its coupling to the system. ALICE measured a positive D-meson elliptic flow in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$=2.76 TeV at LHC, which suggests that charm quarks with low transverse momentum are influenced by the collective motion of the system. The measurement of ${\rm D}^{0}$- meson elliptic flow in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$=5.02 TeV obtained with data from run 2 at the LHC will be presented.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andrea', 'last_name': 'Rossi', 'fullName': 'Rossi, Andrea', 'id': '2778376', 'affiliation': 'Universita e INFN, Padova (IT)', 'emailHash': '125fdbe17316d6bf9cea3f35398887c7', 'db_id': 2778376, 'person_id': 2973573}"
Poster Session,poster,$J/\psi$ production in p+p collisions at $\sqrt{s}$ = 500 GeV at the STAR experiment,"Yang, Qian",University of Science and Technology of China,Unknown,"Understanding $J/\psi$ meson hadroproduction has been a long-term effort both experimentally and theoretically.  However, none of the existing theoretical models can successfully describe both $J/\psi$ transverse momentum ($p_{T}$) spectrum and the polarization. Furthermore, the composition of inclusive $J/\psi$ is complicated, including direct production via gluon fusion, parton fragmentation, and feed-down from excited charmonium states and B hadrons. Measurements of $J/\psi$ production at a different beam energy can shed new lights on the understanding of different $J/\psi$ production mechanisms, and help to constrain model calculations. 

We report measurements of $J/\psi$ production in p+p collisions at $\sqrt{s}$ = 500 GeV in both the di-electron and di-muon channels.  By combining measurements from these two channels, the $p_{T}$ spectrum of $J/\psi$ is measured from 0 to 20 GeV/$c$ and compared with NLO NRQCD and CGC+NRQCD calculations at different kinematic ranges. Feed-down contributions from $\psi(2S)$  is studied in the $p_{T}$ range of $4 < p_{T} < 12$ GeV/$c$. In addition, measurements of the $J/\psi$ production as a function of charged-particle multiplicity will be presented. A strong increase of the relative $J/\psi$ yield with multiplicity is observed for all $p_{T}$ bins with significant $p_{T}$ dependence. The results are compared with predications from the Percolation model and PYTHIA8","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Qian', 'last_name': 'Yang', 'fullName': 'Yang, Qian', 'id': '2778369', 'affiliation': 'University of Science and Technology of China', 'emailHash': '73cc8421d3f75a366bce6223605e058c', 'db_id': 2778369, 'person_id': 2973566}"
Poster Session,poster,Constituent quarks and systematic errors in midrapidity charged multiplicity ($dN_{\rm ch}/d\eta$) distributions.,"Tannenbaum, Michael",Brookhaven National Laboratory (US),USA,"Although it was demonstrated more than 13 years ago that the 
increase in midrapidity $dN_{\rm ch}/d\eta$ with increasing centrality 
of Au+Au collisions at RHIC was linearly proportional to the number 
of constituent quark participants ($N_{qp}$) in the collision, 
it was only in the last few years that generating the spatial positions of the 
three quarks in a nucleon according to the Fourier transform of the measured electric 
charge form factor of the proton could be used to connect $dN_{\rm ch}/d\eta/N_{qp}$ as a function 
of centrality in  p(d)$+$A and A$+$A collisions with the same value of $dN_{\rm ch}/d\eta/N_{qp}$ 
determined in p$+$p collisions. The several calculations had slightly different methods. 
One calculation, which only compared its calculated 
$dN_{\rm ch}/d\eta/N_{qp}$ in p$+$p at $\sqrt{s_{NN}}=200$ GeV to the least central of 12 centrality
bin measurements in Au$+$Au by PHENIX, claimed that the p$+$p value was higher by ``about 30\%'' from 
the band of measurements vs. centrality and suggested a smaller number of subnuclear contributors, e.g. quark-diquark. However the clearly quoted systematic errors were ignored for which a 1 standard deviation systematic shift would move all the 12 Au$+$Au data points to within 1.3 standard deviations of the p$+$p value, or if the statistical and systematic errors are added in quadrature a difference of 35 $\pm$ 21\% .   
The PHENIX method gives a difference of 19$\pm$18\%.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michael', 'last_name': 'Tannenbaum', 'fullName': 'Tannenbaum, Michael', 'id': '2778373', 'affiliation': 'Brookhaven National Laboratory (US)', 'emailHash': 'f5040b1a1d6827ac1f550dd2ef020e28', 'db_id': 2778373, 'person_id': 2973570}"
Poster Session,poster,Δη dependence of net-charge fluctuations in Au+Au collisions from the Beam Energy Scan at the STAR experiment,"Sugiura, Tetsuro","University of Tsukuba, Japan",UK,"In heavy-ion collision experiments, the study of event-by-event fluctuations provides a powerful tool to characterize and understand the thermodynamic 
properties of the hot and dense QCD matter.
The fluctuations of conserved quantities in a finite phase space rapidity window ($\Delta\eta$), like the net-charge, are predicted to be one of the most sensitive signals of the QGP formation and phase transition [1].

D-measure which is defined by second order cumulant per unit entropy was obtained as a function of $\Delta\eta$ in LHC-ALICE experiment at $\sqrt{s_{NN}}=2.76~$TeV Pb+Pb collisions, and it is observed to decrease with $\Delta\eta$ [2].
D-measure is considered to become $3$-$4$ in an equilibrated hadronic medium and $1$-$1.5$ in an equilibrated QGP medium [3]. Thus the ALICE results don't conflict with the theoretical prediction.
$\Delta\eta$ dependence of the higher order cumulant ratios are also important and predicted to decrease 
as the $\Delta\eta$ become larger [4].

In this study, D-measure and 1st to 4th order cumulant ratios are calculated in Au+Au collisions at $\sqrt{s_{NN}}=7.7, 11.5, 14.5, 19.6, 27, 39, 62.4,$ and $200~$GeV during Beam Energy Scan in 2010, 2011 and 2014.
We will report $\Delta\eta$, centrality and energy dependence of the net-charge fluctuation and compare STAR Beam Energy Scan results to ALICE results ($\sqrt{s_{NN}}$=2.76TeV).
Then, we will discuss an energy dependence of the fluctuation as a function of $\Delta\eta$ and possible information from the QGP phase transition.



[1] M.A.Stephanov, Phys. Rev. Lett. 102, 032301 (2009) 

[2] B. Abelev et al.(ALICE Collaboration), Phys. Rev. Lett 110, 152301 (2013)

[3] S. Jeon and V. Koch, Phys. Rev. Lett. 85, 2076 (2000)

[4] Masayuki Asakawa and Masakiyo Kitazawa, Progress in Particle and Nuclear PhysicsiVolume 90, September 2016, Pages 299-342","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tetsuro', 'last_name': 'Sugiura', 'fullName': 'Sugiura, Tetsuro', 'id': '2778377', 'affiliation': 'University of Tsukuba, Japan', 'emailHash': '6f99a6e26bf527c699824237d2d89b39', 'db_id': 2778377, 'person_id': 2973574}"
Poster Session,poster,Measurement of the Invariant Yield of Electrons from the Semileptonic Decay of Heavy Flavor Mesons in p+p Collisions at sqrt_{s} = 200 GeV in the PHENIX Experiment,"Orjuela Koop, Javier",University of Colorado Boulder,USA,"Heavy charm and bottom quarks are excellent probes to study the mechanisms by which colored objects lose energy in the QGP. In particular, given their different masses, the differential suppression of charm and bottom can provide important constraints on models describing energy loss mechanisms. The PHENIX experiment has previously used the micro-vertexing capabilities of its silicon vertex detector (VTX) to infer the yield of charm and bottom quarks in Au+Au collisions from measurements of both the invariant yield of heavy flavor electrons and the distance of closest approach to the collision vertex of heavy flavor electrons. This poster will describe the current effort toward the measurement of the invariant yields in the 2015 p+p collision dataset. The invariant yield is a necessary input for the separation of charm and bottom meson yields in p+p, which will provide a precise baseline for the charm and bottom meson yields in heavy ion collisions.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Javier', 'last_name': 'Orjuela Koop', 'fullName': 'Orjuela Koop, Javier', 'id': '2778385', 'affiliation': 'University of Colorado Boulder', 'emailHash': '084a5ed21bb28c7c30e33135771cbea9', 'db_id': 2778385, 'person_id': 2973582}"
