Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
"Parallel Session 8.2: Future Experimental Facilities, Upgrades, and Instrumentation",parallel,Feasibility study of heavy-ion collision physics at NICA JINR,"Kekelidze, Vladimir",Joint Institute for  Nuclear Research (RU),UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Vladimir', 'last_name': 'Kekelidze', 'fullName': 'Kekelidze, Vladimir', 'id': '2778741', 'affiliation': 'Joint Institute for  Nuclear Research (RU)', 'emailHash': '175265daf78407ca49cfbe102029ba4b', 'db_id': 2778741, 'person_id': 2973871}"
"Parallel Session 3.2: CME, Vorticity and Spin Polarization (I)",parallel,Using Event Shape Engineering to investigate the Chiral Magnetic Effect in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV,"Dobrin, Alexandru Florin",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexandru Florin', 'last_name': 'Dobrin', 'fullName': 'Dobrin, Alexandru Florin', 'id': '2823322', 'affiliation': 'CERN', 'emailHash': '51db426574081e366331fb1e6f9c51fb', 'db_id': 2823322, 'person_id': 3015882}"
Parallel Session 4.1: Baryon-Rich QCD Matter and Astrophysics (I),parallel,Rapidity correlations in the RHIC Beam Energy Scan.,"Jowzaee, Sedigheh",Wayne State University,United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sedigheh', 'last_name': 'Jowzaee', 'fullName': 'Jowzaee, Sedigheh', 'id': '2778635', 'affiliation': 'Wayne State University', 'emailHash': 'e7aba2e19ac0e25edd9e6d614c7f5224', 'db_id': 2778635, 'person_id': 2973798}"
Parallel Session 8.1: Baryon-Rich QCD Matter and Astrophysics (III),parallel,Evidence for chiral symmetry restoration in heavy-ion collisions,"Moreau, Pierre",Frankfurt Institute of Advanced Studies,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pierre', 'last_name': 'Moreau', 'fullName': 'Moreau, Pierre', 'id': '2778641', 'affiliation': 'Frankfurt Institute of Advanced Studies', 'emailHash': '57f5780389ab1be49d72f019b18e8f59', 'db_id': 2778641, 'person_id': 2973804}"
Parallel Session 8.1: Baryon-Rich QCD Matter and Astrophysics (III),parallel,Higher moments of e-by-e proton-multiplicity fluctuations in Au+Au collisions at 1.23A GeV,"Holzmann, Romain",GSI,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Romain', 'last_name': 'Holzmann', 'fullName': 'Holzmann, Romain', 'id': '2816094', 'affiliation': 'GSI', 'emailHash': 'dc96159127356fb27cabd266a4eada68', 'db_id': 2816094, 'person_id': 3008991}"
Parallel Session 4.1: Baryon-Rich QCD Matter and Astrophysics (I),parallel,Phase Transitions in Dense Matter,"Dexheimer, Veronica",Kent State University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Veronica', 'last_name': 'Dexheimer', 'fullName': 'Dexheimer, Veronica', 'id': '2778650', 'affiliation': 'Kent State University', 'emailHash': '9bd7f2c37fb466a2fe123503230585d1', 'db_id': 2778650, 'person_id': 2973817}"
Parallel Session 4.1: Baryon-Rich QCD Matter and Astrophysics (I),parallel,Hybrid approach to relativistic heavy-ion collisions at the RHIC BES energies,"Shen, Chun",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chun', 'last_name': 'Shen', 'fullName': 'Shen, Chun', 'id': '2778665', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': 'bd5e38cb34fad49cdbe84a0d053286af', 'db_id': 2778665, 'person_id': 2973828}"
Parallel Session 7.3: Collective Dynamics (II),parallel,Azimuthal anisotropies at very high $p_{T}$ from two- and multi-particle correlations in PbPb collision at 5.02 TeV with CMS,"Wang, Quan",The University of Kansas (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Quan', 'last_name': 'Wang', 'fullName': 'Wang, Quan', 'id': '2814680', 'affiliation': 'The University of Kansas (US)', 'emailHash': '96165394c2c758b67ede6b2bc92f057d', 'db_id': 2814680, 'person_id': 3007702}"
Parallel Session 3.1: QCD at High Temperature,parallel,The QCD equation of state at finite density from analytical continuation,"Günther, Jana",University of Wuppertal,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jana', 'last_name': 'Günther', 'fullName': 'Günther, Jana', 'id': '2779120', 'affiliation': 'University of Wuppertal', 'emailHash': '022e70d720fe9957c51016b8aa33a3a2', 'db_id': 2779120, 'person_id': 2974180}"
Parallel Session 7.3: Collective Dynamics (II),parallel,Measurement of the Width and Skewness of Elliptic Flow Fluctuations in PbPb Collisions at 5.02 TeV with CMS,"Castle, James Robert",The University of Kansas (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'James Robert', 'last_name': 'Castle', 'fullName': 'Castle, James Robert', 'id': '2814682', 'affiliation': 'The University of Kansas (US)', 'emailHash': 'a3254d472d04a06fede015644ce1941f', 'db_id': 2814682, 'person_id': 3007704}"
