Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Welcome,other,Opening Ceremony,Unknown,Unknown,Unknown,
Experimental Preview Talks I,unknown,NA61,"Aduszkiewicz, Antoni",University of Warsaw (PL),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Antoni', 'last_name': 'Aduszkiewicz', 'fullName': 'Aduszkiewicz, Antoni', 'id': '2802949', 'affiliation': 'University of Warsaw (PL)', 'emailHash': '955b3cd28ad669ea69ee1f772a2d9444', 'db_id': 2802949, 'person_id': 2996792}"
Experimental Preview Talks I,unknown,STAR,"Schmah, Alexander",Lawrence Berkeley National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander', 'last_name': 'Schmah', 'fullName': 'Schmah, Alexander', 'id': '2795939', 'affiliation': 'Lawrence Berkeley National Lab', 'emailHash': '3fd915fb761c1738e6daa036af0ca05a', 'db_id': 2795939, 'person_id': 2990353}"
Experimental Preview Talks I,unknown,PHENIX,"McGlinchey, Darren",University of Colorado,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Darren', 'last_name': 'McGlinchey', 'fullName': 'McGlinchey, Darren', 'id': '2795942', 'affiliation': 'University of Colorado', 'emailHash': '7bd2666c83617469ddf84e808f8692f7', 'db_id': 2795942, 'person_id': 2973662}"
Experimental Preview Talks I,unknown,HADES,"Lorenz, Manuel",University Frankfurt,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Manuel', 'last_name': 'Lorenz', 'fullName': 'Lorenz, Manuel', 'id': '2802717', 'affiliation': 'University Frankfurt', 'emailHash': '856a56d77f4813b8d386b324f44f66a5', 'db_id': 2802717, 'person_id': 2996581}"
Welcome,other,Status of the field and key open questions before QM2017,"Schukraft, Jürgen",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jürgen', 'last_name': 'Schukraft', 'fullName': 'Schukraft, Jürgen', 'id': '2712258', 'affiliation': 'CERN', 'emailHash': 'b963dfdfdc88c708473351fe18a23d06', 'db_id': 2712258, 'person_id': 2909338}"
Experimental Preview Talks - II,unknown,ALICE,"Timmins, Anthony Robert",University of Houston (US),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anthony Robert', 'last_name': 'Timmins', 'fullName': 'Timmins, Anthony Robert', 'id': '2795935', 'affiliation': 'University of Houston (US)', 'emailHash': '4365e944b9eed3bc370d3f379f6baf57', 'db_id': 2795935, 'person_id': 2990349}"
Experimental Preview Talks - II,unknown,ATLAS,"Jia, Jiangyong",State University of New York (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jiangyong', 'last_name': 'Jia', 'fullName': 'Jia, Jiangyong', 'id': '2736476', 'affiliation': 'State University of New York (US)', 'emailHash': '3d951a186ae4e1d5ce26f3dd3683cd17', 'db_id': 2736476, 'person_id': 2933528}"
Closing Session,other,Quark Matter 2018 presentation,Unknown,Unknown,Unknown,
Closing Session,other,Quark Matter 2017 closing,Unknown,Unknown,Unknown,
"Plenary Session I: Equilibration, flow and QGP parameters",plenary,Jet energy loss and equilibration,"Zapp, Korinna Christine",Instituto Superior Tecnico (PT),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Korinna Christine', 'last_name': 'Zapp', 'fullName': 'Zapp, Korinna Christine', 'id': '2935509', 'affiliation': 'Instituto Superior Tecnico (PT)', 'emailHash': 'f23bc3d15fe9d2d4ceca49d84412ec1d', 'db_id': 2935509, 'person_id': 3052737}"
Closing Session,other,2017 Zimanyi Nuclear Theory Medal presentation,Unknown,Unknown,Unknown,
